job,dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
7425,starexec,AGT007+2.p,e1a,age-fair,REFUTED,922,1072.496,8632.903,,,4657,234191,3265,219846,728,,,,,,,,false,
7425,starexec,AGT007+2.p,e1a,balanced,TIMEOUT,922,413.272,164690.529,,,37988,4357673,36990,4301538,,,,,,,,,false,
7425,starexec,AGT007+2.p,e1a,equational,SATURATED,922,701.059,881.111,,,656,1186,654,656,,,,,,,,,false,
7425,starexec,AGT007+2.p,e1a,first-negative,SATURATED,922,506.449,231.239,,,96,109,96,109,,,,,,,,,false,
7425,starexec,AGT007+2.p,e1a,occurrence,TIMEOUT,922,992.310,164426.824,,,44299,18291722,43953,18152207,,,,,,,,,false,
7425,starexec,AGT007+2.p,e1a,subsumption-light,SATURATED,922,663.738,873.114,,,564,1071,564,598,,,,,,,,,false,
7425,starexec,AGT007+2.p,e1a,unary-redundancy,SATURATED,922,867.849,807.025,,,566,1073,564,604,,,,,,,,,false,
7425,starexec,AGT007+2.p,e1a,weight-greedy,SATURATED,922,653.042,757.934,,,447,790,446,460,,,,,,,,,false,
7425,starexec,AGT022+1.p,e1a,equational,SATURATED,555,889.687,6017.121,,,916,39671,878,19927,,,,,,,,,false,
7425,starexec,AGT022+1.p,e1a,first-negative,SATURATED,555,888.010,465.311,,,1,1,1,1,,,,,,,,,false,
7425,starexec,AGT022+1.p,e1a,occurrence,SATURATED,555,1325.771,6261.049,,,1088,37336,1087,18614,,,,,,,,,false,
7425,starexec,AGT022+1.p,e1a,subsumption-light,SATURATED,555,927.132,5241.672,,,679,24032,645,7894,,,,,,,,,false,
7425,starexec,AGT022+1.p,e1a,unary-redundancy,SATURATED,555,1466.546,6788.587,,,1104,34703,1005,19285,,,,,,,,,false,
7425,starexec,AGT022+1.p,e1a,weight-greedy,SATURATED,555,770.726,450.950,,,1,1,1,1,,,,,,,,,false,
7425,starexec,ALG040+1.p,e1a,age-fair,REFUTED,4,358.918,4611.051,,,2987,16446,2941,13035,12,,,,,,,,false,
7425,starexec,ALG040+1.p,e1a,balanced,REFUTED,4,95.263,1093.221,,,928,7216,919,6132,12,,,,,,,,false,
7425,starexec,ALG040+1.p,e1a,equational,REFUTED,4,221.225,2007.294,,,928,7216,919,6132,12,,,,,,,,false,
7425,starexec,ALG040+1.p,e1a,first-negative,REFUTED,4,428.991,906.223,,,158,1593,128,1380,12,,,,,,,,false,
7425,starexec,ALG040+1.p,e1a,occurrence,REFUTED,4,328.836,2068.526,,,1042,8090,1026,6788,12,,,,,,,,false,
7425,starexec,ALG040+1.p,e1a,subsumption-light,REFUTED,4,301.959,4375.472,,,941,8383,930,7274,12,,,,,,,,false,
7425,starexec,ALG040+1.p,e1a,unary-redundancy,REFUTED,4,544.704,4333.054,,,980,8773,970,7615,12,,,,,,,,false,
7425,starexec,ALG040+1.p,e1a,weight-greedy,REFUTED,4,225.827,675.719,,,50,407,43,331,12,,,,,,,,false,
7425,starexec,ALG213+1.p,e1a,age-fair,TIMEOUT,4,366.682,164815.325,,,874,6441726,841,6438968,,,,,,,,,false,
7425,starexec,ALG213+1.p,e1a,balanced,TIMEOUT,4,138.864,165180.989,,,1178,10614500,1089,10607892,,,,,,,,,false,
7425,starexec,ALG213+1.p,e1a,equational,TIMEOUT,4,211.097,165188.012,,,906,6691450,851,6686724,,,,,,,,,false,
7425,starexec,ALG213+1.p,e1a,first-negative,TIMEOUT,4,302.475,164673.125,,,896,6507312,851,6502650,,,,,,,,,false,
7425,starexec,ALG213+1.p,e1a,occurrence,TIMEOUT,4,353.009,164398.454,,,939,6211110,875,6198468,,,,,,,,,false,
7425,starexec,ALG213+1.p,e1a,subsumption-light,TIMEOUT,4,232.565,164886.822,,,921,6536658,844,6531882,,,,,,,,,false,
7425,starexec,ALG213+1.p,e1a,unary-redundancy,TIMEOUT,4,377.764,164424.540,,,870,6250737,835,6246273,,,,,,,,,false,
7425,starexec,ALG213+1.p,e1a,weight-greedy,TIMEOUT,4,218.385,165045.103,,,1022,6634583,945,6592455,,,,,,,,,false,
7425,starexec,BIO006+1.p,e1a,age-fair,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7425,starexec,BIO006+1.p,e1a,balanced,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7425,starexec,BIO006+1.p,e1a,equational,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7425,starexec,BIO006+1.p,e1a,first-negative,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7425,starexec,BIO006+1.p,e1a,occurrence,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7425,starexec,BIO006+1.p,e1a,subsumption-light,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7425,starexec,BIO006+1.p,e1a,unary-redundancy,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7425,starexec,BIO006+1.p,e1a,weight-greedy,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7425,starexec,COM008+1.p,e1a,age-fair,TIMEOUT,10,515.433,167875.326,,,9689,3337978,9669,3327262,,,,,,,,,false,
7425,starexec,COM008+1.p,e1a,balanced,TIMEOUT,10,168.769,165292.103,,,12759,6957686,12540,6938828,,,,,,,,,false,
7425,starexec,COM008+1.p,e1a,equational,TIMEOUT,10,316.201,164445.222,,,8407,3867610,8250,3855070,,,,,,,,,false,
7425,starexec,COM008+1.p,e1a,first-negative,TIMEOUT,10,562.473,164021.309,,,49507,2365077,45456,2292910,,,,,,,,,false,
7425,starexec,COM008+1.p,e1a,occurrence,TIMEOUT,10,518.052,164300.642,,,12405,5470883,11407,5429741,,,,,,,,,false,
7425,starexec,COM008+1.p,e1a,subsumption-light,TIMEOUT,10,329.963,164540.158,,,3501,555519,3474,550397,,,,,,,,,false,
7425,starexec,COM008+1.p,e1a,unary-redundancy,TIMEOUT,10,535.774,164524.787,,,3573,581166,3547,575930,,,,,,,,,false,
7425,starexec,COM008+1.p,e1a,weight-greedy,TIMEOUT,10,340.622,164477.026,,,18549,3218920,11730,3133712,,,,,,,,,false,
7425,starexec,COM008+2.p,e1a,age-fair,TIMEOUT,8,336.398,164833.942,,,9411,3183690,9272,3173150,,,,,,,,,false,
7425,starexec,COM008+2.p,e1a,balanced,TIMEOUT,8,152.494,165123.929,,,14533,5154751,13365,5127178,,,,,,,,,false,
7425,starexec,COM008+2.p,e1a,equational,TIMEOUT,8,276.783,164349.452,,,12094,3933566,10954,3910520,,,,,,,,,false,
7425,starexec,COM008+2.p,e1a,first-negative,TIMEOUT,8,365.008,164575.388,,,37209,11962308,32939,11828291,,,,,,,,,false,
7425,starexec,COM008+2.p,e1a,occurrence,TIMEOUT,8,342.989,164800.324,,,18792,5305982,16888,5236249,,,,,,,,,false,
7425,starexec,COM008+2.p,e1a,subsumption-light,TIMEOUT,8,196.381,165111.820,,,4133,381193,4096,374289,,,,,,,,,false,
7425,starexec,COM008+2.p,e1a,unary-redundancy,TIMEOUT,8,493.951,164454.694,,,3923,375198,3448,368604,,,,,,,,,false,
7425,starexec,COM008+2.p,e1a,weight-greedy,TIMEOUT,8,310.023,165063.302,,,13020,6360821,11410,6293099,,,,,,,,,false,
7425,starexec,COM131+1.p,e1a,age-fair,TIMEOUT,59,2047.843,163965.998,,,3215,3096078,3030,3092581,,,,,,,,,false,
