problem,form,status,spc,domain
Problems/AGT/AGT005+2.p,FOF,THM,FOF_THM_RFO_SEQ,AGT
Problems/AGT/AGT024+1.p,FOF,THM,FOF_THM_RFO_SEQ,AGT
Problems/ALG/ALG016+1.p,FOF,THM,FOF_THM_EPR_PEQ,ALG
Problems/ALG/ALG022+1.p,FOF,THM,FOF_THM_EPR_PEQ,ALG
Problems/ALG/ALG057+1.p,FOF,THM,FOF_THM_EPR_PEQ,ALG
Problems/ALG/ALG089+1.p,FOF,THM,FOF_THM_EPR_PEQ,ALG
Problems/ALG/ALG134+1.p,FOF,UNS,FOF_UNS_EPR_PEQ,ALG
Problems/ALG/ALG163+1.p,FOF,UNS,FOF_UNS_EPR_PEQ,ALG
Problems/ALG/ALG212-10.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,ALG
Problems/ALG/ALG223+4.p,FOF,THM,FOF_THM_RFO_SEQ,ALG
Problems/ALG/ALG338-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,ALG
Problems/ALG/ALG366-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,ALG
Problems/ALG/ALG402-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,ALG
Problems/ALG/ALG433-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,ALG
Problems/ALG/ALG442-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,ALG
Problems/ANA/ANA032-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,ANA
Problems/ANA/ANA034-10.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,ANA
Problems/ARI/ARI764-2.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,ARI
Problems/BOO/BOO005-2.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,BOO
Problems/BOO/BOO012-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,BOO
Problems/BOO/BOO035-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_NUE,BOO
Problems/CAT/CAT002-3.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,CAT
Problems/CAT/CAT028+1.p,FOF,THM,FOF_THM_RFO_SEQ,CAT
Problems/COL/COL002-10.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,COL
Problems/COL/COL017-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,COL
Problems/COL/COL044-9.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,COL
Problems/COL/COL052-2.p,CNF,UNS,CNF_UNS_RFO_SEQ_HRN,COL
Problems/COL/COL060-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,COL
Problems/COL/COL064-1.p,CNF,UNS,CNF_UNS_RFO_PEQ_UEQ,COL
Problems/COL/COL090-1.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,COL
Problems/COL/COL096-2.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,COL
Problems/COL/COL099-2.p,CNF,UNS,CNF_UNS_RFO_SEQ_NHN,COL
Problems/COM/COM017+1.p,FOF,THM,FOF_THM_RFO_SEQ,COM
Problems/CSR/CSR030+2.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
Problems/CSR/CSR046+1.p,FOF,THM,FOF_THM_RFO_NEQ,CSR
