pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus
145889068,simon_guilloud/dryrun_lisast/AGT007+2.p,4867023,lisaSTv0.99,5174,e1b_balanced,419440,complete,0.017966,0.0176799,0.0,--,UNK-Non,Non,UNK
145889069,simon_guilloud/dryrun_lisast/AGT007+2.p,4867023,lisaSTv0.99,5174,e2_deconstruct,419432,complete,0.018447,0.0180781,0.0,--,UNK-Non,Non,UNK
145889066,simon_guilloud/dryrun_lisast/AGT022+1.p,4867022,lisaSTv0.99,5174,e1b_balanced,419440,complete,0.018433,0.018106,0.0,--,UNK-Non,Non,UNK
145889067,simon_guilloud/dryrun_lisast/AGT022+1.p,4867022,lisaSTv0.99,5174,e2_deconstruct,419432,complete,0.019511,0.019064,0.0,--,UNK-Non,Non,UNK
145889064,simon_guilloud/dryrun_lisast/ALG040+1.p,4867021,lisaSTv0.99,5174,e1b_balanced,419440,complete,0.018014,0.0183031,0.0,--,UNK-Non,Non,UNK
145889065,simon_guilloud/dryrun_lisast/ALG040+1.p,4867021,lisaSTv0.99,5174,e2_deconstruct,419432,complete,0.013189,0.0128751,0.0,--,UNK-Non,Non,UNK
145889062,simon_guilloud/dryrun_lisast/ALG213+1.p,4867020,lisaSTv0.99,5174,e1b_balanced,419440,complete,0.01733,0.0169721,0.0,--,UNK-Non,Non,UNK
145889063,simon_guilloud/dryrun_lisast/ALG213+1.p,4867020,lisaSTv0.99,5174,e2_deconstruct,419432,complete,0.018941,0.0185491,0.0,--,UNK-Non,Non,UNK
145889060,simon_guilloud/dryrun_lisast/BIO006+1.p,4867019,lisaSTv0.99,5174,e1b_balanced,419440,complete,0.017882,0.0176269,0.0,--,UNK-Non,Non,UNK
145889061,simon_guilloud/dryrun_lisast/BIO006+1.p,4867019,lisaSTv0.99,5174,e2_deconstruct,419432,complete,0.017575,0.017857,0.0,--,UNK-Non,Non,UNK
