benchmark,solver,configuration,status,cpu time,wallclock time,memory usage,result
dryrun_lisast/AGT007+2.p,LisaST-dry3-0005,e2_deconstruct,complete,18.7256,10.0359,1.5436712E7,--
dryrun_lisast/AGT007+2.p,LisaST-dry3-0005,e1b_balanced,complete,190.88,177.357,1.5436712E7,--
dryrun_lisast/AGT022+1.p,LisaST-dry3-0005,e2_deconstruct,complete,15.7579,8.72173,1.5436712E7,--
dryrun_lisast/AGT022+1.p,LisaST-dry3-0005,e1b_balanced,complete,187.084,177.046,1.5438368E7,--
dryrun_lisast/ALG040+1.p,LisaST-dry3-0005,e2_deconstruct,complete,3.21047,1.54662,1.4970764E7,--
dryrun_lisast/ALG040+1.p,LisaST-dry3-0005,e1b_balanced,complete,6.44871,2.37163,1.4970764E7,--
dryrun_lisast/ALG213+1.p,LisaST-dry3-0005,e2_deconstruct,complete,3.64845,1.79074,1.4971024E7,--
dryrun_lisast/ALG213+1.p,LisaST-dry3-0005,e1b_balanced,complete,218.09,177.353,1.543774E7,--
dryrun_lisast/BIO006+1.p,LisaST-dry3-0005,e2_deconstruct,complete,1.4178,0.983693,1.4904204E7,--
dryrun_lisast/BIO006+1.p,LisaST-dry3-0005,e1b_balanced,complete,1.42696,1.00418,1.4904204E7,--
