dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,age-fair,age-fair,TIMEOUT,119.757,20146.626,0.000,,19525,139622,19491,118540,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,age-fair,age-fair,TIMEOUT,106.804,20144.791,0.000,,19198,634328,19113,614602,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,age-fair,age-fair,REFUTED,46.979,557.465,28.146,34.309,2709,14944,2666,11856,12,0,78,1651,186,43,12,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,age-fair,age-fair,TIMEOUT,57.588,20080.270,0.000,,567,2575358,513,2573570,5,0,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,age-fair,age-fair,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,age-fair,age-fair,TIMEOUT,54.024,20088.170,0.000,,8211,2398797,8133,2389364,15,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,age-fair,age-fair,TIMEOUT,60.334,20122.214,0.000,,5397,2324242,5356,2318417,13,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,age-fair,age-fair,TIMEOUT,128.737,20114.291,0.000,,4947,1880864,4818,1875149,157,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,age-fair,age-fair,TIMEOUT,134.577,20115.912,0.000,,2504,2749675,2423,2746884,152,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,age-fair,age-fair,TIMEOUT,126.005,20125.395,0.000,,2485,2768982,2403,2766138,152,14,,,,,,,false,
