dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,balanced,balanced,TIMEOUT,149.337,20192.393,0.000,,19254,865228,19215,843892,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,balanced,balanced,TIMEOUT,99.395,20137.398,0.000,,19929,107393,19840,86559,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,balanced,balanced,REFUTED,47.388,321.812,38.021,39.872,997,7774,990,6614,12,0,78,1651,186,43,12,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,balanced,balanced,TIMEOUT,58.643,20154.869,0.000,,579,2563038,504,2560020,5,0,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,balanced,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,balanced,balanced,TIMEOUT,50.643,20089.366,0.000,,9093,3044942,8898,3028724,15,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,balanced,balanced,TIMEOUT,58.315,20103.541,0.000,,8838,3141669,8765,3130027,13,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,balanced,balanced,TIMEOUT,122.905,20113.486,0.000,,5183,2902990,5070,2893444,157,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,balanced,balanced,TIMEOUT,140.215,20222.451,0.000,,7847,2770435,7767,2751909,152,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,balanced,balanced,TIMEOUT,157.752,20122.146,0.000,,4792,2996340,4693,2987618,152,14,,,,,,,false,
