dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,age-fair,age-fair,REFUTED,116.558,530.237,34.327,52.083,1803,22011,1803,19666,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,age-fair,age-fair,TIMEOUT,142.541,20156.269,0.000,,18326,93927,18287,75181,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,age-fair,age-fair,REFUTED,120.933,422.436,50.808,86.342,1181,3802,502,1776,474,12,985,45681,615,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,age-fair,age-fair,REFUTED,113.835,204.052,81.295,242.494,114,173,68,127,127,24,746,474545,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,age-fair,age-fair,TIMEOUT,119.379,20155.440,0.000,,18858,1102166,8696,948352,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,age-fair,age-fair,REFUTED,74.614,408.097,27.321,38.913,802,16876,496,14545,165,0,115,2337,147,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,age-fair,age-fair,TIMEOUT,100.377,20123.519,0.000,,16621,985447,9351,871626,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,age-fair,age-fair,TIMEOUT,114.717,20131.987,0.000,,20810,981090,9811,848783,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,age-fair,age-fair,TIMEOUT,40.749,20148.391,0.000,,564,2554938,500,2553240,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,age-fair,age-fair,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
