dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,first-negative,first-negative,TIMEOUT,102.337,20125.931,0.000,,20806,105786,20806,84231,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,first-negative,first-negative,TIMEOUT,106.592,20139.753,0.000,,20767,102916,20765,81732,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,first-negative,first-negative,REFUTED,130.411,329.380,71.120,99.317,742,1874,384,722,474,12,961,47452,618,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,first-negative,first-negative,REFUTED,107.296,184.980,67.965,193.140,119,178,55,127,127,24,746,474584,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,first-negative,first-negative,TIMEOUT,96.367,20112.506,0.000,,24568,1599072,8719,1242844,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,first-negative,first-negative,REFUTED,61.484,263.458,34.670,48.591,526,7302,377,6294,165,0,210,4226,245,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,first-negative,first-negative,TIMEOUT,91.622,20116.570,0.000,,27360,2219791,16880,2068514,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,first-negative,first-negative,TIMEOUT,90.912,20143.001,0.000,,31979,2126924,20286,1965185,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,first-negative,first-negative,TIMEOUT,54.256,20157.656,0.000,,566,2623617,521,2620559,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,first-negative,first-negative,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
