dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,occurrence,occurrence,REFUTED,107.883,270.357,20.324,32.179,1263,2718,1263,1022,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,occurrence,occurrence,TIMEOUT,98.332,20119.888,0.000,,18211,1807410,17872,1787466,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,occurrence,occurrence,REFUTED,98.280,301.205,55.058,79.292,716,1628,297,467,474,12,738,34695,543,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,occurrence,occurrence,REFUTED,104.904,180.144,66.604,188.538,110,174,53,127,127,24,746,474597,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,occurrence,occurrence,REFUTED,94.841,1215.300,46.397,78.679,5997,111295,3595,88859,325,34,1182,27245,470,65,325,false,false,
tptp400,Problems/ALG/ALG089+1.p,occurrence,occurrence,REFUTED,65.798,216.131,26.697,36.541,394,1777,295,1238,165,0,119,2383,147,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,occurrence,occurrence,TIMEOUT,103.543,20136.368,0.000,,30420,2957346,21667,2859273,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,occurrence,occurrence,TIMEOUT,88.181,20111.332,0.000,,37801,3511429,26425,3389866,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,occurrence,occurrence,TIMEOUT,40.298,20100.414,0.000,,587,2525652,546,2518490,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,occurrence,occurrence,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
