dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,unary-redundancy,unary-redundancy,REFUTED,100.952,382.490,32.189,29.045,1403,4903,1403,2958,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,unary-redundancy,unary-redundancy,TIMEOUT,93.358,20122.913,0.000,,20094,147341,20072,126432,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,unary-redundancy,unary-redundancy,REFUTED,115.414,301.590,67.046,97.501,801,1920,384,696,474,12,988,47067,624,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,unary-redundancy,unary-redundancy,REFUTED,96.646,213.981,62.574,205.256,110,173,53,127,127,24,746,474589,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,unary-redundancy,unary-redundancy,REFUTED,116.794,727.624,52.575,96.675,2164,19161,1472,13850,325,34,842,15372,446,61,325,false,false,
tptp400,Problems/ALG/ALG089+1.p,unary-redundancy,unary-redundancy,REFUTED,80.722,306.807,32.537,53.694,506,3282,361,2568,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,unary-redundancy,unary-redundancy,TIMEOUT,107.064,20118.714,0.000,,14018,650541,10648,603758,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,unary-redundancy,unary-redundancy,TIMEOUT,78.574,20114.452,0.000,,14101,607376,11018,560653,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,unary-redundancy,unary-redundancy,TIMEOUT,39.534,20090.116,0.000,,593,2618522,515,2615334,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,unary-redundancy,unary-redundancy,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
