dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,age-fair,age-fair,TIMEOUT,212.029,20148.438,0.000,,20171,173531,20111,152341,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,age-fair,age-fair,TIMEOUT,172.343,20112.175,0.000,,20200,112292,20148,91737,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,age-fair,age-fair,REFUTED,185.400,592.635,20.276,76.184,2709,14944,2666,11856,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,age-fair,age-fair,TIMEOUT,130.723,20117.747,0.000,,561,2522585,507,2520825,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,age-fair,age-fair,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,age-fair,age-fair,TIMEOUT,145.075,20097.641,0.000,,8238,2424969,8160,2415505,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,age-fair,age-fair,TIMEOUT,131.359,20089.743,0.000,,5433,2356028,5392,2350165,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,age-fair,age-fair,TIMEOUT,375.366,20142.422,0.000,,4979,2019865,4849,2014108,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,age-fair,age-fair,TIMEOUT,408.160,20138.282,0.000,,2754,2878395,2680,2875325,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,age-fair,age-fair,TIMEOUT,353.825,20116.764,0.000,,2503,2768363,2417,2765492,152,94,,,,,,,false,
