dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,balanced,balanced,TIMEOUT,192.162,20116.594,0.000,,20147,121184,20147,100074,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,balanced,balanced,TIMEOUT,223.254,20109.013,0.000,,20366,110017,20327,88854,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,balanced,balanced,REFUTED,173.769,317.313,27.117,96.290,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,balanced,balanced,TIMEOUT,127.473,20183.307,0.000,,579,2563038,504,2560020,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,balanced,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,balanced,balanced,TIMEOUT,155.744,20101.132,0.000,,9241,3145556,9046,3129018,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,balanced,balanced,TIMEOUT,127.942,20081.145,0.000,,8854,3182349,8781,3170683,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,balanced,balanced,TIMEOUT,463.792,20117.731,0.000,,4675,2675110,4558,2666780,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,balanced,balanced,TIMEOUT,309.340,20170.505,0.000,,4642,2820843,4562,2812617,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,balanced,balanced,TIMEOUT,340.532,20143.862,0.000,,4728,2931467,4620,2922867,152,94,,,,,,,false,
