dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,occurrence,occurrence,TIMEOUT,199.305,20171.411,0.000,,16125,5313091,16111,5295630,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,occurrence,occurrence,TIMEOUT,180.907,20114.284,0.000,,19190,1722529,19187,1702588,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,occurrence,occurrence,REFUTED,210.906,357.620,27.899,113.079,1003,7788,987,6527,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,occurrence,occurrence,TIMEOUT,134.050,20124.534,0.000,,614,2604358,565,2596696,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,occurrence,occurrence,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,occurrence,occurrence,TIMEOUT,156.890,20088.130,0.000,,8843,4157991,7431,4127574,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,occurrence,occurrence,TIMEOUT,162.818,20096.160,0.000,,11603,3633524,11507,3613822,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,occurrence,occurrence,TIMEOUT,323.945,20251.545,0.000,,8214,2567422,8134,2533082,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,occurrence,occurrence,TIMEOUT,312.222,20120.038,0.000,,7494,2609845,7434,2579578,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,occurrence,occurrence,TIMEOUT,329.048,20127.439,0.000,,7624,2632982,7516,2602427,152,94,,,,,,,false,
