dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,weight-greedy,weight-greedy,TIMEOUT,207.618,20114.637,0.000,,19245,88744,19245,67642,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,weight-greedy,weight-greedy,TIMEOUT,201.786,20131.375,0.000,,19961,83358,19958,61878,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,weight-greedy,weight-greedy,REFUTED,170.515,138.406,20.414,141.658,25,62,21,32,12,2,199,35301,550,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,weight-greedy,weight-greedy,TIMEOUT,145.583,20145.361,0.000,,608,2361421,567,2337619,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,weight-greedy,weight-greedy,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,weight-greedy,weight-greedy,TIMEOUT,175.465,20091.966,0.000,,9554,3655835,8145,3605352,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,weight-greedy,weight-greedy,TIMEOUT,169.611,20096.313,0.000,,9439,2951893,9062,2923433,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,weight-greedy,weight-greedy,TIMEOUT,346.838,20107.458,0.000,,18065,3906969,17367,3814768,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,weight-greedy,weight-greedy,TIMEOUT,348.318,20236.186,0.000,,17274,3493688,16562,3407359,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,weight-greedy,weight-greedy,TIMEOUT,301.593,20189.051,0.000,,17470,3628999,16782,3540580,152,94,,,,,,,false,
