dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,age-fair,age-fair,REFUTED,502.615,467.367,28.953,1620.915,1658,20119,1658,17962,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,age-fair,age-fair,TIMEOUT,174.414,20112.341,0.000,,20101,114868,20039,94428,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,age-fair,age-fair,REFUTED,353.957,371.907,47.573,4316.722,1181,3802,502,1776,474,12,1741,3812979,4276,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,age-fair,age-fair,REFUTED,299.250,172.113,53.894,8875.933,114,173,68,127,127,24,1260,5499802,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,age-fair,age-fair,TIMEOUT,156.639,20099.437,0.000,,19175,1144246,8891,982289,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,age-fair,age-fair,REFUTED,156.194,402.244,32.546,547.436,802,16876,496,14545,165,0,303,529665,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,age-fair,age-fair,TIMEOUT,166.094,20107.366,0.000,,16779,1020992,9477,905277,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,age-fair,age-fair,TIMEOUT,198.354,20109.704,0.000,,20450,940851,9512,811667,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,age-fair,age-fair,TIMEOUT,97.876,20106.971,0.000,,566,2573405,502,2571704,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,age-fair,age-fair,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
