dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,occurrence,occurrence,REFUTED,522.239,278.158,23.470,1568.818,1169,1952,1169,1022,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,occurrence,occurrence,TIMEOUT,169.444,20120.160,0.000,,19581,2025074,19578,2004755,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,occurrence,occurrence,REFUTED,304.798,249.379,46.017,4477.571,716,1628,297,467,474,12,1494,3352590,4233,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,occurrence,occurrence,REFUTED,299.583,260.775,68.219,8574.960,110,174,53,127,127,24,1260,5499854,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,occurrence,occurrence,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,occurrence,occurrence,REFUTED,140.192,214.261,26.855,492.471,394,1777,295,1238,165,0,307,536595,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,occurrence,occurrence,TIMEOUT,164.186,20102.892,0.000,,30842,3085886,21973,2986589,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,occurrence,occurrence,TIMEOUT,175.322,20099.998,0.000,,37416,3440074,26199,3320009,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,occurrence,occurrence,TIMEOUT,125.083,20205.218,0.000,,597,2630762,556,2623495,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,occurrence,occurrence,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
