dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,weight-greedy,weight-greedy,REFUTED,478.209,281.951,20.423,1654.172,1143,1950,1143,1022,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,weight-greedy,weight-greedy,TIMEOUT,223.757,20140.651,0.000,,19939,77261,19936,56435,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,weight-greedy,weight-greedy,REFUTED,313.130,246.430,45.706,4564.600,729,1528,293,467,474,12,1553,3536436,4256,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,weight-greedy,weight-greedy,REFUTED,303.967,168.122,55.736,8610.590,107,170,52,127,127,24,1260,5499886,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,weight-greedy,weight-greedy,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,weight-greedy,weight-greedy,REFUTED,157.327,250.587,43.536,493.320,356,1453,277,973,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,weight-greedy,weight-greedy,TIMEOUT,191.204,20138.316,0.000,,34094,6143169,12486,4619186,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,weight-greedy,weight-greedy,TIMEOUT,156.279,20104.554,0.000,,36888,4907583,12809,2687167,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,weight-greedy,weight-greedy,TIMEOUT,89.363,20114.176,0.000,,598,2388294,540,2364853,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,weight-greedy,weight-greedy,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
