dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,rewrite,,CLAUSIFIED,441.895,,,1744.710,,,,,1022,13,4347,2415283,4999,863,927,true,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,rewrite,,CLAUSIFIED,343.244,,,1412.439,,,,,655,13,2887,1607704,4586,869,560,true,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,rewrite,,CLAUSIFIED,168.411,,,157.939,,,,,12,2,212,65957,702,729,9,true,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,rewrite,,CLAUSIFIED,166.439,,,83.240,,,,,5,5,156,37249,436,559,9,true,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,rewrite,,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,rewrite,,CLAUSIFIED,160.446,,,105.776,,,,,15,3,201,18557,606,230,15,true,false,
casc-j13-fof,Problems/COM/COM008+2.p,rewrite,,CLAUSIFIED,169.576,,,72.563,,,,,13,3,180,17174,571,230,13,true,false,
casc-j13-fof,Problems/COM/COM131+1.p,rewrite,,CLAUSIFIED,1068.679,,,9212.636,,,,,157,95,3373,16044013,18212,10061,64,true,false,
casc-j13-fof,Problems/COM/COM136+1.p,rewrite,,CLAUSIFIED,1197.184,,,9324.887,,,,,152,94,3279,15234374,17643,9820,61,true,false,
casc-j13-fof,Problems/COM/COM139+1.p,rewrite,,CLAUSIFIED,988.658,,,9495.139,,,,,152,94,3258,15236272,17559,9862,60,true,false,
