dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,cond-on,balanced,TIMEOUT,182.651,429.847,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,cond-on,balanced,TIMEOUT,177.588,526.293,0.000,,2000,22211,1997,19868,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,cond-on,balanced,REFUTED,194.881,358.124,21.111,94.319,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,cond-on,balanced,TIMEOUT,144.300,20135.704,0.000,,590,2668741,515,2665615,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,cond-on,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,cond-on,balanced,TIMEOUT,158.480,4822.413,0.000,,2000,191780,1957,188616,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,cond-on,balanced,TIMEOUT,148.624,3385.684,0.000,,2000,170141,1966,167551,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,cond-on,balanced,BAD_PROOF,358.276,217.740,0.000,,0,0,0,0,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,cond-on,balanced,BAD_PROOF,361.754,231.217,0.000,,0,0,0,0,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,cond-on,balanced,BAD_PROOF,307.468,233.449,0.000,,0,0,0,0,152,94,,,,,,,false,
