dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,gensimplify-on,balanced,TIMEOUT,277.359,738.969,0.000,,2000,12042,2000,9836,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,gensimplify-on,balanced,TIMEOUT,175.193,784.824,0.000,,2000,21078,2000,18908,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,gensimplify-on,balanced,BAD_PROOF,130.320,107.900,0.000,,0,0,0,0,12,2,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,gensimplify-on,balanced,BAD_PROOF,128.830,96.318,0.000,,0,0,0,0,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,gensimplify-on,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,gensimplify-on,balanced,TIMEOUT,126.828,14532.942,0.000,,2000,179765,1922,177535,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,gensimplify-on,balanced,TIMEOUT,130.234,10721.365,0.000,,2000,151025,1962,148863,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,gensimplify-on,balanced,BAD_PROOF,300.971,156.901,0.000,,0,0,0,0,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,gensimplify-on,balanced,BAD_PROOF,317.109,157.057,0.000,,0,0,0,0,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,gensimplify-on,balanced,BAD_PROOF,379.294,152.198,0.000,,0,0,0,0,152,94,,,,,,,false,
