dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,index-off,balanced,TIMEOUT,194.853,413.236,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,index-off,balanced,TIMEOUT,193.510,520.513,0.000,,2000,22211,1997,19868,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,index-off,balanced,REFUTED,162.436,289.697,22.779,93.455,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,index-off,balanced,TIMEOUT,127.416,20095.494,0.000,,587,2636973,512,2633879,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,index-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,index-off,balanced,TIMEOUT,166.332,1257.327,0.000,,2000,198817,1972,195607,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,index-off,balanced,TIMEOUT,128.803,1264.866,0.000,,2000,163505,1962,160911,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,index-off,balanced,TIMEOUT,309.426,1317.606,0.000,,2000,114255,1905,111069,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,index-off,balanced,TIMEOUT,387.086,1741.028,0.000,,2000,206719,1953,203799,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,index-off,balanced,TIMEOUT,310.231,1174.642,0.000,,2000,105445,1924,102481,152,94,,,,,,,false,
