dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,sr-and-index-off,balanced,TIMEOUT,178.186,505.935,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,sr-and-index-off,balanced,TIMEOUT,242.930,581.433,0.000,,2000,22211,1997,19868,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,sr-and-index-off,balanced,REFUTED,173.977,310.617,24.076,138.089,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,sr-and-index-off,balanced,TIMEOUT,137.508,20158.408,0.000,,558,2384960,484,2382072,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,sr-and-index-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,sr-and-index-off,balanced,TIMEOUT,126.291,1210.787,0.000,,2000,198817,1972,195607,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,sr-and-index-off,balanced,TIMEOUT,129.546,1156.587,0.000,,2000,163505,1962,160911,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,sr-and-index-off,balanced,TIMEOUT,357.454,1235.701,0.000,,2000,114255,1905,111069,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,sr-and-index-off,balanced,TIMEOUT,315.389,1629.283,0.000,,2000,206719,1953,203799,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,sr-and-index-off,balanced,TIMEOUT,303.518,1035.707,0.000,,2000,105445,1924,102481,152,94,,,,,,,false,
