dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,fwdsubs-off,balanced,TIMEOUT,172.693,337.067,0.000,,2000,3347,1338,1347,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,fwdsubs-off,balanced,TIMEOUT,185.785,452.005,0.000,,2000,19508,1552,17508,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,fwdsubs-off,balanced,REFUTED,313.088,292.247,51.691,4740.987,1208,2242,389,1009,474,12,2073,4433920,4348,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,fwdsubs-off,balanced,REFUTED,286.336,170.667,58.998,8670.002,161,196,81,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,fwdsubs-off,balanced,TIMEOUT,161.308,345.594,0.000,,2000,17084,1001,14976,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,fwdsubs-off,balanced,TIMEOUT,122.284,504.508,0.000,,2000,57918,667,55918,165,0,,,,,,,false,
tptp400,Problems/ALG/ALG134+1.p,fwdsubs-off,balanced,TIMEOUT,154.033,367.252,0.000,,2000,23623,1441,21624,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,fwdsubs-off,balanced,TIMEOUT,150.640,360.571,0.000,,2000,26810,1384,24810,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,fwdsubs-off,balanced,TIMEOUT,110.203,6235.368,0.000,,2000,1237766,213,1235711,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,fwdsubs-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
