dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,baseline,balanced,TIMEOUT,244.468,20129.982,0.000,,19454,111603,19454,91303,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,baseline,balanced,TIMEOUT,187.495,20119.493,0.000,,20410,110316,20363,89104,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,baseline,balanced,REFUTED,171.101,301.217,22.479,87.799,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,baseline,balanced,TIMEOUT,135.261,20141.091,0.000,,567,2457885,492,2454905,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,baseline,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,baseline,balanced,TIMEOUT,139.176,20097.334,0.000,,9109,3065822,8914,3049568,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,baseline,balanced,TIMEOUT,124.984,20091.744,0.000,,8913,3338943,8840,3327195,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,baseline,balanced,TIMEOUT,339.574,20105.006,0.000,,4657,2655215,4540,2646921,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,baseline,balanced,TIMEOUT,332.363,20109.940,0.000,,4624,2746769,4544,2738579,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,baseline,balanced,TIMEOUT,420.289,20157.768,0.000,,4711,2883630,4603,2875066,152,94,,,,,,,false,
