dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,bwdsubs-off,balanced,TIMEOUT,220.280,20144.213,0.000,,24684,849754,24608,822699,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,bwdsubs-off,balanced,TIMEOUT,248.698,20161.185,0.000,,25309,120057,25273,93752,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,bwdsubs-off,balanced,REFUTED,240.440,385.622,36.332,112.811,997,7774,991,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,bwdsubs-off,balanced,TIMEOUT,123.244,20076.138,0.000,,585,2654039,520,2650982,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,bwdsubs-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,bwdsubs-off,balanced,TIMEOUT,133.851,20077.332,0.000,,9651,3582305,9651,3564841,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,bwdsubs-off,balanced,TIMEOUT,146.382,20652.122,0.000,,8984,3444323,8984,3432475,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,bwdsubs-off,balanced,TIMEOUT,316.778,20106.608,0.000,,4672,2679334,4621,2670818,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,bwdsubs-off,balanced,TIMEOUT,364.690,20228.571,0.000,,4672,2918900,4651,2910614,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,bwdsubs-off,balanced,TIMEOUT,583.681,20157.870,0.000,,4735,3022762,4716,3014114,152,94,,,,,,,false,
