dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,index-off,balanced,TIMEOUT,185.235,20137.651,0.000,,20628,148638,20628,127044,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,index-off,balanced,TIMEOUT,213.363,20106.625,0.000,,19332,94738,19329,74679,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,index-off,balanced,REFUTED,170.039,298.323,22.970,110.209,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,index-off,balanced,TIMEOUT,122.769,20143.595,0.000,,578,2551128,503,2548112,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,index-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,index-off,balanced,TIMEOUT,134.745,20082.571,0.000,,9466,3343288,9271,3326302,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,index-off,balanced,TIMEOUT,133.772,20255.658,0.000,,8986,3431723,8913,3419873,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,index-off,balanced,TIMEOUT,293.850,20106.698,0.000,,4983,2776199,4865,2767219,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,index-off,balanced,TIMEOUT,308.036,20152.707,0.000,,4672,2918870,4592,2910584,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,index-off,balanced,TIMEOUT,339.138,20154.902,0.000,,4800,3204411,4692,3195677,152,94,,,,,,,false,
