dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,sr-off,balanced,TIMEOUT,204.285,20118.460,0.000,,20607,147648,20607,126075,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,sr-off,balanced,TIMEOUT,210.311,20119.690,0.000,,20568,112464,20521,91084,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,sr-off,balanced,REFUTED,209.618,296.761,22.491,84.451,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,sr-off,balanced,TIMEOUT,129.248,20190.317,0.000,,582,2595680,507,2592646,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,sr-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,sr-off,balanced,TIMEOUT,128.665,20080.802,0.000,,9690,3523196,9490,3505790,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,sr-off,balanced,TIMEOUT,124.412,20074.486,0.000,,8969,3418977,8896,3407151,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,sr-off,balanced,TIMEOUT,295.389,20093.625,0.000,,4818,2715551,4701,2706935,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,sr-off,balanced,TIMEOUT,411.803,20152.869,0.000,,4661,2883018,4581,2874754,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,sr-off,balanced,TIMEOUT,402.596,20185.333,0.000,,4707,2840982,4599,2832428,152,94,,,,,,,false,
