dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,bwdsubs-off,balanced,REFUTED,424.808,509.675,21.144,1609.010,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,bwdsubs-off,balanced,TIMEOUT,164.518,20109.809,0.000,,26212,159655,26131,132408,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,bwdsubs-off,balanced,REFUTED,320.413,311.876,47.407,4871.117,801,1963,393,808,474,12,1693,3742303,4276,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,bwdsubs-off,balanced,REFUTED,281.424,173.633,53.420,8350.180,110,191,102,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,bwdsubs-off,balanced,TIMEOUT,161.634,20112.494,0.000,,22201,2153597,22115,2005568,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,bwdsubs-off,balanced,REFUTED,141.378,228.382,29.820,513.671,507,3400,380,2592,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,bwdsubs-off,balanced,TIMEOUT,176.212,20104.739,0.000,,21217,2072094,21215,1955758,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,bwdsubs-off,balanced,TIMEOUT,151.615,20097.115,0.000,,24317,2545622,24317,2448377,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,bwdsubs-off,balanced,TIMEOUT,107.446,20089.418,0.000,,559,2590209,525,2587179,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,bwdsubs-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
