dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,fwdsubs-off,balanced,REFUTED,393.662,448.811,17.441,1482.919,2667,20939,2005,18272,1022,13,4236,2357573,4986,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,fwdsubs-off,balanced,TIMEOUT,183.541,20121.492,0.000,,26727,127959,25861,101257,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,fwdsubs-off,balanced,REFUTED,317.389,303.966,52.253,4474.853,1208,2242,389,1009,474,12,2073,4433920,4348,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,fwdsubs-off,balanced,REFUTED,300.748,197.450,66.609,8487.850,161,196,81,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,fwdsubs-off,balanced,TIMEOUT,159.838,20100.470,0.000,,53882,2779248,6833,2725258,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,fwdsubs-off,balanced,TIMEOUT,121.946,20215.498,0.000,,38696,6572607,2512,6533911,165,0,,,,,,,false,
tptp400,Problems/ALG/ALG134+1.p,fwdsubs-off,balanced,TIMEOUT,203.996,20108.529,0.000,,59718,4205820,8407,4146102,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,fwdsubs-off,balanced,TIMEOUT,142.208,20099.225,0.000,,94712,4186103,14024,4091391,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,fwdsubs-off,balanced,TIMEOUT,91.141,20075.797,0.000,,2965,3646507,352,3643461,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,fwdsubs-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
