dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,orthologic-off,balanced,TIMEOUT,172.843,20122.036,0.000,,20693,150887,20693,129223,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,orthologic-off,balanced,TIMEOUT,164.679,20111.232,0.000,,20376,110086,20337,88912,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,orthologic-off,balanced,REFUTED,194.450,284.793,21.091,102.831,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,orthologic-off,balanced,TIMEOUT,132.910,20096.806,0.000,,578,2551128,503,2548112,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,orthologic-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,orthologic-off,balanced,TIMEOUT,117.032,20071.505,0.000,,9340,3276844,9145,3260104,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,orthologic-off,balanced,TIMEOUT,156.477,20096.351,0.000,,8893,3286290,8820,3274570,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,orthologic-off,balanced,TIMEOUT,336.888,20113.725,0.000,,4860,2724521,4743,2715817,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,orthologic-off,balanced,TIMEOUT,332.907,20102.901,0.000,,4691,2993662,4611,2985338,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,orthologic-off,balanced,TIMEOUT,319.297,20201.064,0.000,,4765,3072935,4657,3064265,152,94,,,,,,,false,
