dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
starexec,AGT007+2.p,e1a,age-fair,REFUTED,922,2090.359,19408.474,,,4657,234191,3265,219846,728,,,,,,,,false,
starexec,AGT007+2.p,e1a,balanced,TIMEOUT,922,443.636,166673.939,,,36738,3461304,35873,3409170,,,,,,,,,false,
starexec,AGT007+2.p,e1a,equational,SATURATED,922,865.466,1179.872,,,656,1186,654,656,,,,,,,,,false,
starexec,AGT007+2.p,e1a,first-negative,SATURATED,922,880.239,505.509,,,96,109,96,109,,,,,,,,,false,
starexec,AGT007+2.p,e1a,subsumption-light,SATURATED,922,877.486,1156.760,,,564,1071,564,598,,,,,,,,,false,
starexec,AGT007+2.p,e1a,unary-redundancy,SATURATED,922,1149.825,1064.241,,,566,1073,564,604,,,,,,,,,false,
starexec,AGT007+2.p,e1a,weight-greedy,SATURATED,922,817.903,938.861,,,447,790,446,460,,,,,,,,,false,
starexec,AGT022+1.p,e1a,balanced,TIMEOUT,555,424.944,166614.784,,,30361,408575,29317,369740,,,,,,,,,false,
starexec,AGT022+1.p,e1a,equational,SATURATED,555,861.747,5926.788,,,916,39671,878,19927,,,,,,,,,false,
starexec,AGT022+1.p,e1a,first-negative,SATURATED,555,560.561,369.723,,,1,1,1,1,,,,,,,,,false,
starexec,AGT022+1.p,e1a,occurrence,SATURATED,555,1306.924,6160.981,,,1088,37336,1087,18614,,,,,,,,,false,
starexec,AGT022+1.p,e1a,subsumption-light,SATURATED,555,886.976,4925.318,,,679,24032,645,7894,,,,,,,,,false,
starexec,AGT022+1.p,e1a,unary-redundancy,SATURATED,555,1471.837,6616.144,,,1104,34703,1005,19285,,,,,,,,,false,
starexec,AGT022+1.p,e1a,weight-greedy,SATURATED,555,794.482,407.879,,,1,1,1,1,,,,,,,,,false,
starexec,ALG040+1.p,e1a,age-fair,REFUTED,4,559.952,7071.266,,,2987,16446,2941,13035,12,,,,,,,,false,
starexec,ALG040+1.p,e1a,balanced,REFUTED,4,173.861,1738.138,,,928,7216,919,6132,12,,,,,,,,false,
starexec,ALG040+1.p,e1a,equational,REFUTED,4,325.761,3116.431,,,928,7216,919,6132,12,,,,,,,,false,
starexec,ALG040+1.p,e1a,first-negative,REFUTED,4,565.971,1542.534,,,158,1593,128,1380,12,,,,,,,,false,
starexec,ALG040+1.p,e1a,occurrence,REFUTED,4,535.578,3210.415,,,1042,8090,1026,6788,12,,,,,,,,false,
starexec,ALG040+1.p,e1a,subsumption-light,REFUTED,4,345.380,4387.153,,,941,8383,930,7274,12,,,,,,,,false,
starexec,ALG040+1.p,e1a,unary-redundancy,REFUTED,4,531.127,4303.040,,,980,8773,970,7615,12,,,,,,,,false,
starexec,ALG040+1.p,e1a,weight-greedy,REFUTED,4,355.843,1030.184,,,50,407,43,331,12,,,,,,,,false,
starexec,ALG213+1.p,e1a,age-fair,TIMEOUT,4,264.719,166373.109,,,917,7107818,883,7104965,,,,,,,,,false,
starexec,ALG213+1.p,e1a,balanced,TIMEOUT,4,147.642,166238.534,,,1219,11120317,1127,11113387,,,,,,,,,false,
starexec,ALG213+1.p,e1a,equational,TIMEOUT,4,302.775,169614.253,,,893,6498475,838,6493801,,,,,,,,,false,
starexec,ALG213+1.p,e1a,first-negative,TIMEOUT,4,268.063,166357.764,,,902,6594885,856,6590203,,,,,,,,,false,
starexec,ALG213+1.p,e1a,occurrence,TIMEOUT,4,270.430,166483.401,,,1029,7462331,963,7448409,,,,,,,,,false,
starexec,ALG213+1.p,e1a,subsumption-light,TIMEOUT,4,223.917,166294.459,,,920,6523028,843,6518262,,,,,,,,,false,
