dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
starexec,AGT007+2.p,e1a,age-fair,REFUTED,922,1370.311,12355.551,,,4657,234191,3265,219846,728,,,,,,,,false,
starexec,AGT007+2.p,e1a,balanced,TIMEOUT,922,430.612,164586.945,,,36960,3530596,36050,3477822,,,,,,,,,false,
starexec,AGT007+2.p,e1a,equational,SATURATED,922,1181.027,1724.767,,,656,1186,654,656,,,,,,,,,false,
starexec,AGT007+2.p,e1a,first-negative,SATURATED,922,838.411,461.851,,,96,109,96,109,,,,,,,,,false,
starexec,AGT007+2.p,e1a,occurrence,TIMEOUT,922,1335.184,163839.893,,,30271,7175057,29937,7092462,,,,,,,,,false,
starexec,AGT007+2.p,e1a,subsumption-light,SATURATED,922,827.455,1100.502,,,564,1071,564,598,,,,,,,,,false,
starexec,AGT007+2.p,e1a,unary-redundancy,SATURATED,922,1733.156,1728.257,,,566,1073,564,604,,,,,,,,,false,
starexec,AGT007+2.p,e1a,weight-greedy,SATURATED,922,1156.933,1354.908,,,447,790,446,460,,,,,,,,,false,
starexec,AGT022+1.p,e1a,age-fair,TIMEOUT,555,1844.627,163149.394,,,17090,10277315,12908,10191249,,,,,,,,,false,
starexec,AGT022+1.p,e1a,balanced,REFUTED,555,293.912,155305.517,,,40249,3048503,33729,2994836,655,,,,,,,,false,
starexec,AGT022+1.p,e1a,equational,SATURATED,555,608.981,3782.195,,,916,39671,878,19927,,,,,,,,,false,
starexec,AGT022+1.p,e1a,first-negative,SATURATED,555,608.053,271.469,,,1,1,1,1,,,,,,,,,false,
starexec,AGT022+1.p,e1a,occurrence,SATURATED,555,897.521,3890.544,,,1088,37336,1087,18614,,,,,,,,,false,
starexec,AGT022+1.p,e1a,subsumption-light,SATURATED,555,587.233,3151.539,,,679,24032,645,7894,,,,,,,,,false,
starexec,AGT022+1.p,e1a,unary-redundancy,SATURATED,555,998.683,4059.791,,,1104,34703,1005,19285,,,,,,,,,false,
starexec,AGT022+1.p,e1a,weight-greedy,SATURATED,555,520.182,298.276,,,1,1,1,1,,,,,,,,,false,
