dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,equational,equational,TIMEOUT,104.707,20169.949,0.000,,19668,887761,19628,866168,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,equational,equational,TIMEOUT,101.765,20133.456,0.000,,20060,111083,19971,90117,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,equational,equational,REFUTED,48.432,296.275,30.772,36.349,997,7774,990,6614,12,0,78,1651,186,43,12,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,equational,equational,TIMEOUT,55.805,20088.486,0.000,,583,2612543,509,2609503,5,0,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,equational,equational,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,equational,equational,TIMEOUT,54.071,20097.882,0.000,,9222,3178934,9025,3162110,15,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,equational,equational,TIMEOUT,49.573,20092.896,0.000,,8683,3035175,8615,3023744,13,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,equational,equational,TIMEOUT,179.261,20149.727,0.000,,4848,2668768,4748,2659970,157,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,equational,equational,TIMEOUT,123.582,20121.768,0.000,,7473,2735292,7362,2717101,152,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,equational,equational,TIMEOUT,130.298,20164.352,0.000,,5825,3423970,5684,3413082,152,14,,,,,,,false,
