dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,first-negative,first-negative,TIMEOUT,102.590,20126.985,0.000,,21224,106852,21224,84879,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,first-negative,first-negative,TIMEOUT,101.482,20131.484,0.000,,20791,102944,20765,81715,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,first-negative,first-negative,REFUTED,50.429,161.864,25.122,29.888,106,637,92,473,12,0,45,873,113,48,12,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,first-negative,first-negative,TIMEOUT,54.120,20098.549,0.000,,591,2680174,516,2677044,5,0,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,first-negative,first-negative,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,first-negative,first-negative,TIMEOUT,50.301,20095.015,0.000,,45630,2058976,41833,1990323,15,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,first-negative,first-negative,TIMEOUT,51.030,20102.376,0.000,,30106,5792178,25808,5705301,13,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,first-negative,first-negative,TIMEOUT,150.683,20126.203,0.000,,10941,3437178,10327,3406820,157,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,first-negative,first-negative,TIMEOUT,116.000,20118.568,0.000,,9044,2881286,8813,2855390,152,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,first-negative,first-negative,TIMEOUT,119.394,20106.610,0.000,,10081,3295126,9445,3261314,152,14,,,,,,,false,
