dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,occurrence,occurrence,TIMEOUT,102.405,20123.669,0.000,,18642,1905922,18586,1883374,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,occurrence,occurrence,TIMEOUT,116.781,20127.192,0.000,,18510,1596962,18282,1576938,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,occurrence,occurrence,REFUTED,61.054,312.443,31.853,36.983,1003,7788,987,6527,12,0,78,1651,186,43,12,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,occurrence,occurrence,TIMEOUT,54.372,20137.526,0.000,,620,2658961,571,2651249,5,0,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,occurrence,occurrence,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,occurrence,occurrence,TIMEOUT,51.015,20082.739,0.000,,8898,4188705,7486,4158083,15,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,occurrence,occurrence,TIMEOUT,61.086,20096.575,0.000,,11641,3707438,11545,3687667,13,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,occurrence,occurrence,TIMEOUT,128.572,20259.146,0.000,,7335,2890464,7244,2860555,157,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,occurrence,occurrence,TIMEOUT,147.868,20126.882,0.000,,7439,2524557,7385,2494807,152,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,occurrence,occurrence,TIMEOUT,130.265,20473.419,0.000,,7657,2582015,7541,2551530,152,14,,,,,,,false,
