dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,subsumption-light,subsumption-light,TIMEOUT,104.496,20129.459,0.000,,19099,859089,19073,837856,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,subsumption-light,subsumption-light,TIMEOUT,100.826,20144.554,0.000,,20232,359192,20187,338118,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,subsumption-light,subsumption-light,REFUTED,51.481,396.714,29.412,45.869,1007,9048,998,7864,12,0,78,1651,186,43,12,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,subsumption-light,subsumption-light,TIMEOUT,56.051,20147.550,0.000,,590,2668741,515,2665615,5,0,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,subsumption-light,subsumption-light,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,subsumption-light,subsumption-light,TIMEOUT,52.708,20120.455,0.000,,3752,562023,3686,555812,15,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,subsumption-light,subsumption-light,TIMEOUT,53.474,20101.464,0.000,,3972,767588,3907,762334,13,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,subsumption-light,subsumption-light,BAD_PROOF,124.643,227.217,0.000,,0,0,0,0,157,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,subsumption-light,subsumption-light,BAD_PROOF,118.130,221.338,0.000,,0,0,0,0,152,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,subsumption-light,subsumption-light,BAD_PROOF,125.151,227.274,0.000,,0,0,0,0,152,14,,,,,,,false,
