dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,unary-redundancy,unary-redundancy,TIMEOUT,109.436,20130.656,0.000,,19216,865092,19190,843742,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,unary-redundancy,unary-redundancy,TIMEOUT,98.873,20194.741,0.000,,20166,194527,20121,173519,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,unary-redundancy,unary-redundancy,REFUTED,54.343,450.722,37.750,46.446,1007,9048,998,7864,12,0,78,1651,186,43,12,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,unary-redundancy,unary-redundancy,TIMEOUT,65.947,20172.302,0.000,,577,2553879,503,2550869,5,0,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,unary-redundancy,unary-redundancy,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,unary-redundancy,unary-redundancy,TIMEOUT,66.113,20095.837,0.000,,3705,552837,3639,546697,15,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,unary-redundancy,unary-redundancy,TIMEOUT,65.629,20111.681,0.000,,3966,765606,3901,760358,13,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,unary-redundancy,unary-redundancy,BAD_PROOF,137.564,225.247,0.000,,0,0,0,0,157,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,unary-redundancy,unary-redundancy,BAD_PROOF,132.706,212.499,0.000,,0,0,0,0,152,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,unary-redundancy,unary-redundancy,BAD_PROOF,118.780,270.689,0.000,,0,0,0,0,152,14,,,,,,,false,
