dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,weight-greedy,weight-greedy,TIMEOUT,100.045,20145.727,0.000,,20353,79173,20353,49627,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,weight-greedy,weight-greedy,TIMEOUT,100.140,20146.091,0.000,,20011,77951,19944,56218,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,weight-greedy,weight-greedy,REFUTED,50.841,140.297,29.131,39.101,25,62,21,32,12,0,61,1054,132,38,12,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,weight-greedy,weight-greedy,TIMEOUT,53.251,20098.587,0.000,,601,2299490,560,2275858,5,0,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,weight-greedy,weight-greedy,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,weight-greedy,weight-greedy,TIMEOUT,84.733,20122.356,0.000,,9542,3646466,8155,3596328,15,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,weight-greedy,weight-greedy,TIMEOUT,64.683,20094.750,0.000,,9457,3001367,9080,2972818,13,0,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,weight-greedy,weight-greedy,TIMEOUT,164.925,20198.095,0.000,,18006,3824570,17164,3733312,157,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,weight-greedy,weight-greedy,TIMEOUT,140.809,20110.887,0.000,,17137,3403024,16380,3318189,152,14,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,weight-greedy,weight-greedy,TIMEOUT,148.417,20127.497,0.000,,17720,3678210,16863,3587747,152,14,,,,,,,false,
