dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,balanced,balanced,REFUTED,112.084,330.651,19.725,21.232,1403,4886,1403,2941,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,balanced,balanced,TIMEOUT,99.405,20140.707,0.000,,19655,138104,19620,117636,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,balanced,balanced,REFUTED,108.110,296.317,53.469,82.017,802,1932,384,759,474,12,923,45856,612,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,balanced,balanced,REFUTED,151.020,256.621,78.063,241.427,111,174,53,127,127,24,746,474589,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,balanced,balanced,TIMEOUT,91.049,20114.403,0.000,,26532,1792591,17093,1633570,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,balanced,balanced,REFUTED,69.563,239.579,29.656,36.570,506,3282,361,2568,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,balanced,balanced,TIMEOUT,95.098,20112.560,0.000,,25322,1982214,17111,1863508,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,balanced,balanced,TIMEOUT,103.192,20114.953,0.000,,28492,1585473,17451,1468499,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,balanced,balanced,TIMEOUT,42.174,20113.904,0.000,,553,2486539,509,2483527,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,balanced,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
