dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,equational,equational,REFUTED,107.863,286.378,21.859,23.585,1391,4676,1391,2723,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,equational,equational,TIMEOUT,87.168,20119.399,0.000,,19867,140745,19832,120065,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,equational,equational,REFUTED,94.829,294.840,57.111,80.498,826,1935,388,683,474,12,952,46244,613,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,equational,equational,REFUTED,99.912,196.577,60.095,198.735,111,174,53,127,127,24,746,474593,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,equational,equational,REFUTED,90.447,2458.179,47.276,82.912,8160,194366,4667,154234,325,34,1129,26613,453,65,325,false,false,
tptp400,Problems/ALG/ALG089+1.p,equational,equational,REFUTED,63.504,251.721,31.394,42.054,497,3114,350,2432,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,equational,equational,TIMEOUT,103.799,20123.092,0.000,,26487,2150673,17723,2028345,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,equational,equational,TIMEOUT,78.502,20107.658,0.000,,29093,1640265,17945,1522406,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,equational,equational,TIMEOUT,46.949,20148.580,0.000,,583,2549721,506,2546583,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,equational,equational,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
