dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,weight-greedy,weight-greedy,REFUTED,107.396,265.261,21.352,25.759,1199,2631,1199,1062,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,weight-greedy,weight-greedy,TIMEOUT,91.090,20143.343,0.000,,20176,79820,20125,57764,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,weight-greedy,weight-greedy,REFUTED,100.212,257.016,47.485,68.856,729,1528,293,467,474,12,797,38272,597,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,weight-greedy,weight-greedy,REFUTED,101.981,175.939,73.052,193.057,107,170,52,127,127,24,746,474629,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,weight-greedy,weight-greedy,REFUTED,114.910,1564.094,58.685,94.622,8654,215487,2198,90088,325,34,1777,32873,538,60,325,false,false,
tptp400,Problems/ALG/ALG089+1.p,weight-greedy,weight-greedy,REFUTED,73.078,244.589,24.988,41.870,356,1453,277,973,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,weight-greedy,weight-greedy,TIMEOUT,98.148,20127.138,0.000,,35306,6851670,12871,5144109,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,weight-greedy,weight-greedy,TIMEOUT,79.132,20107.657,0.000,,37393,5004280,13003,2745134,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,weight-greedy,weight-greedy,TIMEOUT,53.655,20127.689,0.000,,608,2482945,548,2459211,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,weight-greedy,weight-greedy,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
