dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,balanced,balanced,REFUTED,112.084,330.651,19.725,21.232,1403,4886,1403,2941,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,balanced,balanced,TIMEOUT,99.405,20140.707,0.000,,19655,138104,19620,117636,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,balanced,balanced,REFUTED,108.110,296.317,53.469,82.017,802,1932,384,759,474,12,923,45856,612,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,balanced,balanced,REFUTED,151.020,256.621,78.063,241.427,111,174,53,127,127,24,746,474589,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,balanced,balanced,TIMEOUT,91.049,20114.403,0.000,,26532,1792591,17093,1633570,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,balanced,balanced,REFUTED,69.563,239.579,29.656,36.570,506,3282,361,2568,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,balanced,balanced,TIMEOUT,95.098,20112.560,0.000,,25322,1982214,17111,1863508,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,balanced,balanced,TIMEOUT,103.192,20114.953,0.000,,28492,1585473,17451,1468499,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,balanced,balanced,TIMEOUT,42.174,20113.904,0.000,,553,2486539,509,2483527,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,balanced,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,weight-greedy,weight-greedy,REFUTED,107.396,265.261,21.352,25.759,1199,2631,1199,1062,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,weight-greedy,weight-greedy,TIMEOUT,91.090,20143.343,0.000,,20176,79820,20125,57764,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,weight-greedy,weight-greedy,REFUTED,100.212,257.016,47.485,68.856,729,1528,293,467,474,12,797,38272,597,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,weight-greedy,weight-greedy,REFUTED,101.981,175.939,73.052,193.057,107,170,52,127,127,24,746,474629,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,weight-greedy,weight-greedy,REFUTED,114.910,1564.094,58.685,94.622,8654,215487,2198,90088,325,34,1777,32873,538,60,325,false,false,
tptp400,Problems/ALG/ALG089+1.p,weight-greedy,weight-greedy,REFUTED,73.078,244.589,24.988,41.870,356,1453,277,973,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,weight-greedy,weight-greedy,TIMEOUT,98.148,20127.138,0.000,,35306,6851670,12871,5144109,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,weight-greedy,weight-greedy,TIMEOUT,79.132,20107.657,0.000,,37393,5004280,13003,2745134,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,weight-greedy,weight-greedy,TIMEOUT,53.655,20127.689,0.000,,608,2482945,548,2459211,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,weight-greedy,weight-greedy,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,age-fair,age-fair,REFUTED,116.558,530.237,34.327,52.083,1803,22011,1803,19666,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,age-fair,age-fair,TIMEOUT,142.541,20156.269,0.000,,18326,93927,18287,75181,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,age-fair,age-fair,REFUTED,120.933,422.436,50.808,86.342,1181,3802,502,1776,474,12,985,45681,615,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,age-fair,age-fair,REFUTED,113.835,204.052,81.295,242.494,114,173,68,127,127,24,746,474545,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,age-fair,age-fair,TIMEOUT,119.379,20155.440,0.000,,18858,1102166,8696,948352,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,age-fair,age-fair,REFUTED,74.614,408.097,27.321,38.913,802,16876,496,14545,165,0,115,2337,147,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,age-fair,age-fair,TIMEOUT,100.377,20123.519,0.000,,16621,985447,9351,871626,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,age-fair,age-fair,TIMEOUT,114.717,20131.987,0.000,,20810,981090,9811,848783,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,age-fair,age-fair,TIMEOUT,40.749,20148.391,0.000,,564,2554938,500,2553240,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,age-fair,age-fair,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,occurrence,occurrence,REFUTED,107.883,270.357,20.324,32.179,1263,2718,1263,1022,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,occurrence,occurrence,TIMEOUT,98.332,20119.888,0.000,,18211,1807410,17872,1787466,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,occurrence,occurrence,REFUTED,98.280,301.205,55.058,79.292,716,1628,297,467,474,12,738,34695,543,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,occurrence,occurrence,REFUTED,104.904,180.144,66.604,188.538,110,174,53,127,127,24,746,474597,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,occurrence,occurrence,REFUTED,94.841,1215.300,46.397,78.679,5997,111295,3595,88859,325,34,1182,27245,470,65,325,false,false,
tptp400,Problems/ALG/ALG089+1.p,occurrence,occurrence,REFUTED,65.798,216.131,26.697,36.541,394,1777,295,1238,165,0,119,2383,147,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,occurrence,occurrence,TIMEOUT,103.543,20136.368,0.000,,30420,2957346,21667,2859273,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,occurrence,occurrence,TIMEOUT,88.181,20111.332,0.000,,37801,3511429,26425,3389866,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,occurrence,occurrence,TIMEOUT,40.298,20100.414,0.000,,587,2525652,546,2518490,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,occurrence,occurrence,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,equational,equational,REFUTED,107.863,286.378,21.859,23.585,1391,4676,1391,2723,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,equational,equational,TIMEOUT,87.168,20119.399,0.000,,19867,140745,19832,120065,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,equational,equational,REFUTED,94.829,294.840,57.111,80.498,826,1935,388,683,474,12,952,46244,613,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,equational,equational,REFUTED,99.912,196.577,60.095,198.735,111,174,53,127,127,24,746,474593,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,equational,equational,REFUTED,90.447,2458.179,47.276,82.912,8160,194366,4667,154234,325,34,1129,26613,453,65,325,false,false,
tptp400,Problems/ALG/ALG089+1.p,equational,equational,REFUTED,63.504,251.721,31.394,42.054,497,3114,350,2432,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,equational,equational,TIMEOUT,103.799,20123.092,0.000,,26487,2150673,17723,2028345,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,equational,equational,TIMEOUT,78.502,20107.658,0.000,,29093,1640265,17945,1522406,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,equational,equational,TIMEOUT,46.949,20148.580,0.000,,583,2549721,506,2546583,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,equational,equational,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,unary-redundancy,unary-redundancy,REFUTED,100.952,382.490,32.189,29.045,1403,4903,1403,2958,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,unary-redundancy,unary-redundancy,TIMEOUT,93.358,20122.913,0.000,,20094,147341,20072,126432,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,unary-redundancy,unary-redundancy,REFUTED,115.414,301.590,67.046,97.501,801,1920,384,696,474,12,988,47067,624,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,unary-redundancy,unary-redundancy,REFUTED,96.646,213.981,62.574,205.256,110,173,53,127,127,24,746,474589,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,unary-redundancy,unary-redundancy,REFUTED,116.794,727.624,52.575,96.675,2164,19161,1472,13850,325,34,842,15372,446,61,325,false,false,
tptp400,Problems/ALG/ALG089+1.p,unary-redundancy,unary-redundancy,REFUTED,80.722,306.807,32.537,53.694,506,3282,361,2568,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,unary-redundancy,unary-redundancy,TIMEOUT,107.064,20118.714,0.000,,14018,650541,10648,603758,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,unary-redundancy,unary-redundancy,TIMEOUT,78.574,20114.452,0.000,,14101,607376,11018,560653,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,unary-redundancy,unary-redundancy,TIMEOUT,39.534,20090.116,0.000,,593,2618522,515,2615334,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,unary-redundancy,unary-redundancy,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,subsumption-light,subsumption-light,REFUTED,111.494,322.774,20.954,23.199,1403,4903,1403,2958,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,subsumption-light,subsumption-light,TIMEOUT,96.354,20150.320,0.000,,20152,262751,20130,241777,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,subsumption-light,subsumption-light,REFUTED,101.616,284.969,57.769,87.869,803,1925,384,756,474,12,963,46527,625,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,subsumption-light,subsumption-light,REFUTED,103.026,197.303,59.423,186.379,110,173,53,127,127,24,746,474589,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,subsumption-light,subsumption-light,TIMEOUT,104.383,20122.868,0.000,,14468,597286,10041,528519,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,subsumption-light,subsumption-light,REFUTED,58.317,258.823,30.162,36.211,506,3282,361,2568,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,subsumption-light,subsumption-light,TIMEOUT,118.246,20114.163,0.000,,13045,548076,9983,505065,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,subsumption-light,subsumption-light,TIMEOUT,99.227,20126.697,0.000,,13924,589990,10874,544013,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,subsumption-light,subsumption-light,TIMEOUT,42.085,20187.868,0.000,,562,2577995,517,2574955,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,subsumption-light,subsumption-light,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,first-negative,first-negative,TIMEOUT,102.337,20125.931,0.000,,20806,105786,20806,84231,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,first-negative,first-negative,TIMEOUT,106.592,20139.753,0.000,,20767,102916,20765,81732,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,first-negative,first-negative,REFUTED,130.411,329.380,71.120,99.317,742,1874,384,722,474,12,961,47452,618,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,first-negative,first-negative,REFUTED,107.296,184.980,67.965,193.140,119,178,55,127,127,24,746,474584,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,first-negative,first-negative,TIMEOUT,96.367,20112.506,0.000,,24568,1599072,8719,1242844,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,first-negative,first-negative,REFUTED,61.484,263.458,34.670,48.591,526,7302,377,6294,165,0,210,4226,245,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,first-negative,first-negative,TIMEOUT,91.622,20116.570,0.000,,27360,2219791,16880,2068514,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,first-negative,first-negative,TIMEOUT,90.912,20143.001,0.000,,31979,2126924,20286,1965185,320,32,,,,,,,false,
