dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,equational,equational,TIMEOUT,204.117,20147.970,0.000,,20018,119880,20018,98908,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,equational,equational,TIMEOUT,202.692,20109.806,0.000,,20380,110106,20341,88927,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,equational,equational,REFUTED,162.515,291.942,20.330,93.997,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,equational,equational,TIMEOUT,120.007,20075.188,0.000,,582,2598334,508,2595296,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,equational,equational,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,equational,equational,TIMEOUT,121.860,20080.947,0.000,,9237,3202305,9042,3185453,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,equational,equational,TIMEOUT,256.444,20131.259,0.000,,8492,2946984,8424,2935815,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,equational,equational,TIMEOUT,336.466,20157.584,0.000,,4669,2538210,4577,2529804,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,equational,equational,TIMEOUT,303.774,20113.461,0.000,,7314,2920182,7217,2905654,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,equational,equational,TIMEOUT,311.191,20097.779,0.000,,6370,3256936,6248,3244456,152,94,,,,,,,false,
