dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,first-negative,first-negative,TIMEOUT,172.423,20111.949,0.000,,21703,103616,21703,81141,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,first-negative,first-negative,TIMEOUT,171.066,20115.641,0.000,,21876,100927,21876,78626,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,first-negative,first-negative,REFUTED,169.237,154.434,18.398,79.645,108,660,94,494,12,2,183,32054,538,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,first-negative,first-negative,TIMEOUT,127.563,20067.589,0.000,,583,2601156,508,2598118,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,first-negative,first-negative,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,first-negative,first-negative,TIMEOUT,136.656,20077.828,0.000,,43266,1937811,39485,1871993,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,first-negative,first-negative,TIMEOUT,127.161,20083.553,0.000,,30149,5799260,25808,5712261,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,first-negative,first-negative,TIMEOUT,329.717,20189.730,0.000,,11192,3577237,9797,3547247,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,first-negative,first-negative,TIMEOUT,345.569,20119.558,0.000,,8617,2723860,8458,2697780,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,first-negative,first-negative,TIMEOUT,319.710,20104.244,0.000,,8953,2679836,8410,2655052,152,94,,,,,,,false,
