dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,subsumption-light,subsumption-light,TIMEOUT,190.541,20121.996,0.000,,20326,125527,20326,104236,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,subsumption-light,subsumption-light,TIMEOUT,172.092,20108.605,0.000,,20225,108058,20213,87058,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,subsumption-light,subsumption-light,REFUTED,166.009,430.214,21.151,84.713,1007,9048,998,7864,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,subsumption-light,subsumption-light,TIMEOUT,120.545,20085.609,0.000,,580,2573879,505,2570857,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,subsumption-light,subsumption-light,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,subsumption-light,subsumption-light,TIMEOUT,131.561,20078.474,0.000,,3821,569833,3738,563531,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,subsumption-light,subsumption-light,TIMEOUT,122.902,20081.044,0.000,,3972,767588,3907,762334,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,subsumption-light,subsumption-light,BAD_PROOF,345.779,250.336,0.000,,0,0,0,0,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,subsumption-light,subsumption-light,BAD_PROOF,378.751,228.555,0.000,,0,0,0,0,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,subsumption-light,subsumption-light,BAD_PROOF,338.298,211.555,0.000,,0,0,0,0,152,94,,,,,,,false,
