dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,unary-redundancy,unary-redundancy,TIMEOUT,167.839,20116.673,0.000,,20368,129061,20368,107728,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,unary-redundancy,unary-redundancy,TIMEOUT,218.926,20127.510,0.000,,19961,104338,19952,83629,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,unary-redundancy,unary-redundancy,REFUTED,192.253,408.082,23.275,93.382,1007,9048,998,7864,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,unary-redundancy,unary-redundancy,TIMEOUT,139.796,20136.432,0.000,,570,2489435,496,2486445,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,unary-redundancy,unary-redundancy,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,unary-redundancy,unary-redundancy,TIMEOUT,124.127,20082.361,0.000,,3698,551728,3615,545636,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,unary-redundancy,unary-redundancy,TIMEOUT,145.974,20110.696,0.000,,3957,761644,3892,756406,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,unary-redundancy,unary-redundancy,BAD_PROOF,309.684,210.832,0.000,,0,0,0,0,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,unary-redundancy,unary-redundancy,BAD_PROOF,350.774,256.097,0.000,,0,0,0,0,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,unary-redundancy,unary-redundancy,BAD_PROOF,377.304,292.554,0.000,,0,0,0,0,152,94,,,,,,,false,
