dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,balanced,balanced,TIMEOUT,192.162,20116.594,0.000,,20147,121184,20147,100074,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,balanced,balanced,TIMEOUT,223.254,20109.013,0.000,,20366,110017,20327,88854,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,balanced,balanced,REFUTED,173.769,317.313,27.117,96.290,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,balanced,balanced,TIMEOUT,127.473,20183.307,0.000,,579,2563038,504,2560020,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,balanced,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,balanced,balanced,TIMEOUT,155.744,20101.132,0.000,,9241,3145556,9046,3129018,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,balanced,balanced,TIMEOUT,127.942,20081.145,0.000,,8854,3182349,8781,3170683,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,balanced,balanced,TIMEOUT,463.792,20117.731,0.000,,4675,2675110,4558,2666780,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,balanced,balanced,TIMEOUT,309.340,20170.505,0.000,,4642,2820843,4562,2812617,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,balanced,balanced,TIMEOUT,340.532,20143.862,0.000,,4728,2931467,4620,2922867,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,weight-greedy,weight-greedy,TIMEOUT,207.618,20114.637,0.000,,19245,88744,19245,67642,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,weight-greedy,weight-greedy,TIMEOUT,201.786,20131.375,0.000,,19961,83358,19958,61878,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,weight-greedy,weight-greedy,REFUTED,170.515,138.406,20.414,141.658,25,62,21,32,12,2,199,35301,550,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,weight-greedy,weight-greedy,TIMEOUT,145.583,20145.361,0.000,,608,2361421,567,2337619,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,weight-greedy,weight-greedy,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,weight-greedy,weight-greedy,TIMEOUT,175.465,20091.966,0.000,,9554,3655835,8145,3605352,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,weight-greedy,weight-greedy,TIMEOUT,169.611,20096.313,0.000,,9439,2951893,9062,2923433,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,weight-greedy,weight-greedy,TIMEOUT,346.838,20107.458,0.000,,18065,3906969,17367,3814768,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,weight-greedy,weight-greedy,TIMEOUT,348.318,20236.186,0.000,,17274,3493688,16562,3407359,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,weight-greedy,weight-greedy,TIMEOUT,301.593,20189.051,0.000,,17470,3628999,16782,3540580,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,age-fair,age-fair,TIMEOUT,212.029,20148.438,0.000,,20171,173531,20111,152341,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,age-fair,age-fair,TIMEOUT,172.343,20112.175,0.000,,20200,112292,20148,91737,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,age-fair,age-fair,REFUTED,185.400,592.635,20.276,76.184,2709,14944,2666,11856,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,age-fair,age-fair,TIMEOUT,130.723,20117.747,0.000,,561,2522585,507,2520825,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,age-fair,age-fair,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,age-fair,age-fair,TIMEOUT,145.075,20097.641,0.000,,8238,2424969,8160,2415505,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,age-fair,age-fair,TIMEOUT,131.359,20089.743,0.000,,5433,2356028,5392,2350165,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,age-fair,age-fair,TIMEOUT,375.366,20142.422,0.000,,4979,2019865,4849,2014108,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,age-fair,age-fair,TIMEOUT,408.160,20138.282,0.000,,2754,2878395,2680,2875325,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,age-fair,age-fair,TIMEOUT,353.825,20116.764,0.000,,2503,2768363,2417,2765492,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,occurrence,occurrence,TIMEOUT,199.305,20171.411,0.000,,16125,5313091,16111,5295630,1022,13,,,,,,,false,
