dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,equational,equational,REFUTED,422.988,461.420,16.825,1639.049,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,equational,equational,TIMEOUT,184.043,20132.815,0.000,,20310,112161,20269,91093,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,equational,equational,REFUTED,323.552,331.061,44.685,4618.515,824,1926,388,674,474,12,1708,3755145,4277,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,equational,equational,REFUTED,296.984,175.126,55.735,8813.412,111,174,53,127,127,24,1260,5499850,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,equational,equational,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,equational,equational,REFUTED,146.768,242.214,27.477,560.951,497,3114,350,2432,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,equational,equational,TIMEOUT,165.820,20106.511,0.000,,26608,2180699,17784,2058170,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,equational,equational,TIMEOUT,149.753,20098.981,0.000,,28878,1623284,17722,1508981,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,equational,equational,TIMEOUT,86.408,20121.777,0.000,,556,2356195,479,2353279,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,equational,equational,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
