dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,unary-redundancy,unary-redundancy,REFUTED,475.011,543.720,20.160,1724.519,2003,20884,2003,18381,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,unary-redundancy,unary-redundancy,TIMEOUT,225.317,20130.787,0.000,,19919,105088,19896,84451,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,unary-redundancy,unary-redundancy,REFUTED,304.158,311.477,43.614,4637.036,801,1920,384,696,474,12,1744,3811826,4284,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,unary-redundancy,unary-redundancy,REFUTED,297.423,185.068,53.847,8706.275,110,173,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,unary-redundancy,unary-redundancy,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,unary-redundancy,unary-redundancy,REFUTED,159.615,271.997,29.623,565.159,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,unary-redundancy,unary-redundancy,TIMEOUT,201.016,20131.510,0.000,,14077,656914,10716,609609,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,unary-redundancy,unary-redundancy,TIMEOUT,196.678,20126.365,0.000,,14073,602090,10928,555351,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,unary-redundancy,unary-redundancy,TIMEOUT,92.548,20102.667,0.000,,586,2568675,509,2565513,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,unary-redundancy,unary-redundancy,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
