dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,balanced,balanced,REFUTED,379.771,468.313,18.027,1534.044,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,balanced,balanced,TIMEOUT,195.960,20128.930,0.000,,19962,106406,19938,85726,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,balanced,balanced,REFUTED,331.072,271.246,50.937,4648.601,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,balanced,balanced,REFUTED,300.587,179.649,57.087,8955.258,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,balanced,balanced,TIMEOUT,159.572,20112.277,0.000,,26221,1742327,16961,1585388,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,balanced,balanced,REFUTED,149.607,241.348,27.619,499.407,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,balanced,balanced,TIMEOUT,164.253,20102.050,0.000,,25670,2084508,17294,1964457,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,balanced,balanced,TIMEOUT,172.288,20107.427,0.000,,28124,1569737,17117,1458326,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,balanced,balanced,TIMEOUT,92.553,20102.027,0.000,,577,2692764,532,2689632,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,balanced,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,weight-greedy,weight-greedy,REFUTED,478.209,281.951,20.423,1654.172,1143,1950,1143,1022,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,weight-greedy,weight-greedy,TIMEOUT,223.757,20140.651,0.000,,19939,77261,19936,56435,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,weight-greedy,weight-greedy,REFUTED,313.130,246.430,45.706,4564.600,729,1528,293,467,474,12,1553,3536436,4256,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,weight-greedy,weight-greedy,REFUTED,303.967,168.122,55.736,8610.590,107,170,52,127,127,24,1260,5499886,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,weight-greedy,weight-greedy,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,weight-greedy,weight-greedy,REFUTED,157.327,250.587,43.536,493.320,356,1453,277,973,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,weight-greedy,weight-greedy,TIMEOUT,191.204,20138.316,0.000,,34094,6143169,12486,4619186,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,weight-greedy,weight-greedy,TIMEOUT,156.279,20104.554,0.000,,36888,4907583,12809,2687167,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,weight-greedy,weight-greedy,TIMEOUT,89.363,20114.176,0.000,,598,2388294,540,2364853,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,weight-greedy,weight-greedy,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,age-fair,age-fair,REFUTED,502.615,467.367,28.953,1620.915,1658,20119,1658,17962,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,age-fair,age-fair,TIMEOUT,174.414,20112.341,0.000,,20101,114868,20039,94428,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,age-fair,age-fair,REFUTED,353.957,371.907,47.573,4316.722,1181,3802,502,1776,474,12,1741,3812979,4276,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,age-fair,age-fair,REFUTED,299.250,172.113,53.894,8875.933,114,173,68,127,127,24,1260,5499802,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,age-fair,age-fair,TIMEOUT,156.639,20099.437,0.000,,19175,1144246,8891,982289,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,age-fair,age-fair,REFUTED,156.194,402.244,32.546,547.436,802,16876,496,14545,165,0,303,529665,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,age-fair,age-fair,TIMEOUT,166.094,20107.366,0.000,,16779,1020992,9477,905277,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,age-fair,age-fair,TIMEOUT,198.354,20109.704,0.000,,20450,940851,9512,811667,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,age-fair,age-fair,TIMEOUT,97.876,20106.971,0.000,,566,2573405,502,2571704,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,age-fair,age-fair,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,occurrence,occurrence,REFUTED,522.239,278.158,23.470,1568.818,1169,1952,1169,1022,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,occurrence,occurrence,TIMEOUT,169.444,20120.160,0.000,,19581,2025074,19578,2004755,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,occurrence,occurrence,REFUTED,304.798,249.379,46.017,4477.571,716,1628,297,467,474,12,1494,3352590,4233,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,occurrence,occurrence,REFUTED,299.583,260.775,68.219,8574.960,110,174,53,127,127,24,1260,5499854,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,occurrence,occurrence,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,occurrence,occurrence,REFUTED,140.192,214.261,26.855,492.471,394,1777,295,1238,165,0,307,536595,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,occurrence,occurrence,TIMEOUT,164.186,20102.892,0.000,,30842,3085886,21973,2986589,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,occurrence,occurrence,TIMEOUT,175.322,20099.998,0.000,,37416,3440074,26199,3320009,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,occurrence,occurrence,TIMEOUT,125.083,20205.218,0.000,,597,2630762,556,2623495,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,occurrence,occurrence,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,equational,equational,REFUTED,422.988,461.420,16.825,1639.049,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,equational,equational,TIMEOUT,184.043,20132.815,0.000,,20310,112161,20269,91093,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,equational,equational,REFUTED,323.552,331.061,44.685,4618.515,824,1926,388,674,474,12,1708,3755145,4277,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,equational,equational,REFUTED,296.984,175.126,55.735,8813.412,111,174,53,127,127,24,1260,5499850,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,equational,equational,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,equational,equational,REFUTED,146.768,242.214,27.477,560.951,497,3114,350,2432,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,equational,equational,TIMEOUT,165.820,20106.511,0.000,,26608,2180699,17784,2058170,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,equational,equational,TIMEOUT,149.753,20098.981,0.000,,28878,1623284,17722,1508981,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,equational,equational,TIMEOUT,86.408,20121.777,0.000,,556,2356195,479,2353279,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,equational,equational,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,unary-redundancy,unary-redundancy,REFUTED,475.011,543.720,20.160,1724.519,2003,20884,2003,18381,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,unary-redundancy,unary-redundancy,TIMEOUT,225.317,20130.787,0.000,,19919,105088,19896,84451,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,unary-redundancy,unary-redundancy,REFUTED,304.158,311.477,43.614,4637.036,801,1920,384,696,474,12,1744,3811826,4284,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,unary-redundancy,unary-redundancy,REFUTED,297.423,185.068,53.847,8706.275,110,173,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,unary-redundancy,unary-redundancy,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,unary-redundancy,unary-redundancy,REFUTED,159.615,271.997,29.623,565.159,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,unary-redundancy,unary-redundancy,TIMEOUT,201.016,20131.510,0.000,,14077,656914,10716,609609,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,unary-redundancy,unary-redundancy,TIMEOUT,196.678,20126.365,0.000,,14073,602090,10928,555351,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,unary-redundancy,unary-redundancy,TIMEOUT,92.548,20102.667,0.000,,586,2568675,509,2565513,5,0,,,,,,,false,
