dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,deconstruct,,CLAUSIFIED,555.129,,,1859.468,,,,,1022,13,4218,2343304,4967,863,923,true,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,deconstruct,,CLAUSIFIED,330.073,,,1326.270,,,,,655,13,2755,1533643,4554,869,556,true,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,deconstruct,,CLAUSIFIED,151.483,,,70.478,,,,,12,2,140,21983,476,388,5,true,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,deconstruct,,CLAUSIFIED,175.662,,,74.301,,,,,5,5,128,31261,402,559,5,true,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,deconstruct,,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,deconstruct,,CLAUSIFIED,200.763,,,93.859,,,,,15,3,164,14828,574,230,11,true,false,
casc-j13-fof,Problems/COM/COM008+2.p,deconstruct,,CLAUSIFIED,163.915,,,81.290,,,,,13,3,147,13810,539,230,9,true,false,
casc-j13-fof,Problems/COM/COM131+1.p,deconstruct,,CLAUSIFIED,886.854,,,9189.572,,,,,157,95,2795,12771096,18050,10061,60,true,false,
casc-j13-fof,Problems/COM/COM136+1.p,deconstruct,,CLAUSIFIED,1071.040,,,8360.571,,,,,152,94,2736,12215506,17481,9820,57,true,false,
casc-j13-fof,Problems/COM/COM139+1.p,deconstruct,,CLAUSIFIED,824.806,,,8508.641,,,,,152,94,2724,12246854,17397,9862,56,true,false,
