dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,rewrite,,CLAUSIFIED,922,372.702,,0.000,1260.772,,,,,1022,13,4347,2415283,4999,863,927,true,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,rewrite,,CLAUSIFIED,555,312.168,,0.000,1075.485,,,,,655,13,2887,1607704,4586,869,560,true,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,rewrite,,CLAUSIFIED,4,117.547,,0.000,171.805,,,,,12,2,212,65957,702,729,9,true,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,rewrite,,CLAUSIFIED,4,123.456,,0.000,85.192,,,,,5,5,156,37249,436,559,9,true,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,rewrite,,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,rewrite,,CLAUSIFIED,10,126.202,,0.000,87.502,,,,,15,3,201,18557,606,230,15,true,false,
casc-j13-fof,Problems/COM/COM008+2.p,rewrite,,CLAUSIFIED,8,121.001,,0.000,80.646,,,,,13,3,180,17174,571,230,13,true,false,
casc-j13-fof,Problems/COM/COM131+1.p,rewrite,,CLAUSIFIED,59,942.421,,0.000,7862.646,,,,,157,95,3373,16044013,18212,10061,64,true,false,
casc-j13-fof,Problems/COM/COM136+1.p,rewrite,,CLAUSIFIED,56,884.553,,0.000,7607.411,,,,,152,94,3279,15234374,17643,9820,61,true,false,
casc-j13-fof,Problems/COM/COM139+1.p,rewrite,,CLAUSIFIED,55,859.350,,0.000,7937.097,,,,,152,94,3258,15236272,17559,9862,60,true,false,
casc-j13-fof,Problems/CSR/CSR005+2.p,rewrite,,CLAUSIFIED,55,227.697,,0.000,501.578,,,,,120,18,1138,632996,4363,1294,60,true,false,
casc-j13-fof,Problems/CSR/CSR021+1.p,rewrite,,CLAUSIFIED,47,232.559,,0.000,787.971,,,,,137,21,1168,764231,4514,1464,52,true,false,
casc-j13-fof,Problems/CSR/CSR022+1.p,rewrite,,CLAUSIFIED,47,239.946,,0.000,755.024,,,,,137,21,1168,764231,4514,1464,52,true,false,
casc-j13-fof,Problems/CSR/CSR025+5.p,rewrite,,SKIPPED,540249,0.000,,,,,,,,,,,,,,,,false,|F|=6489227 > 50000
