dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
small,Problems/AGT/AGT007+2.p,deconstruct,,CLAUSIFIED,922,573.459,,0.000,1707.753,,,,,1022,13,4218,2343304,4967,863,923,true,false,
small,Problems/AGT/AGT022+1.p,deconstruct,,CLAUSIFIED,555,472.314,,0.000,1564.243,,,,,655,13,2755,1533643,4554,869,556,true,false,
small,Problems/ALG/ALG040+1.p,deconstruct,,CLAUSIFIED,4,160.908,,0.000,122.988,,,,,12,2,140,21983,476,388,5,true,false,
small,Problems/ALG/ALG213+1.p,deconstruct,,CLAUSIFIED,4,203.276,,0.000,112.504,,,,,5,5,128,31261,402,559,5,true,false,
small,Problems/BIO/BIO006+1.p,deconstruct,,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
small,Problems/COM/COM008+1.p,deconstruct,,CLAUSIFIED,10,188.429,,0.000,106.274,,,,,15,3,164,14828,574,230,11,true,false,
small,Problems/COM/COM008+2.p,deconstruct,,CLAUSIFIED,8,162.434,,0.000,99.683,,,,,13,3,147,13810,539,230,9,true,false,
small,Problems/COM/COM131+1.p,deconstruct,,CLAUSIFIED,59,1106.722,,0.000,10517.465,,,,,157,95,2795,12771096,18050,10061,60,true,false,
small,Problems/COM/COM136+1.p,deconstruct,,CLAUSIFIED,56,1095.133,,0.000,10103.336,,,,,152,94,2736,12215506,17481,9820,57,true,false,
small,Problems/COM/COM139+1.p,deconstruct,,CLAUSIFIED,55,977.650,,0.000,10188.921,,,,,152,94,2724,12246854,17397,9862,56,true,false,
small,Problems/CSR/CSR005+2.p,deconstruct,,CLAUSIFIED,55,328.918,,0.000,708.138,,,,,120,18,965,479932,4219,1294,56,true,false,
small,Problems/CSR/CSR021+1.p,deconstruct,,CLAUSIFIED,47,415.949,,0.000,963.539,,,,,137,21,979,600971,4418,1464,48,true,false,
small,Problems/AGT/AGT007+2.p,rewrite,,CLAUSIFIED,922,520.730,,0.000,1630.036,,,,,1022,13,4347,2415283,4999,863,927,true,false,
small,Problems/AGT/AGT022+1.p,rewrite,,CLAUSIFIED,555,464.492,,0.000,1287.554,,,,,655,13,2887,1607704,4586,869,560,true,false,
small,Problems/ALG/ALG040+1.p,rewrite,,CLAUSIFIED,4,169.762,,0.000,214.544,,,,,12,2,212,65957,702,729,9,true,false,
small,Problems/ALG/ALG213+1.p,rewrite,,CLAUSIFIED,4,179.029,,0.000,114.811,,,,,5,5,156,37249,436,559,9,true,false,
small,Problems/BIO/BIO006+1.p,rewrite,,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
small,Problems/COM/COM008+1.p,rewrite,,CLAUSIFIED,10,185.587,,0.000,122.352,,,,,15,3,201,18557,606,230,15,true,false,
small,Problems/COM/COM008+2.p,rewrite,,CLAUSIFIED,8,186.855,,0.000,109.461,,,,,13,3,180,17174,571,230,13,true,false,
small,Problems/COM/COM131+1.p,rewrite,,CLAUSIFIED,59,1271.506,,0.000,10945.791,,,,,157,95,3373,16044013,18212,10061,64,true,false,
small,Problems/COM/COM136+1.p,rewrite,,CLAUSIFIED,56,1202.306,,0.000,10656.515,,,,,152,94,3279,15234374,17643,9820,61,true,false,
small,Problems/COM/COM139+1.p,rewrite,,CLAUSIFIED,55,1344.147,,0.000,10639.932,,,,,152,94,3258,15236272,17559,9862,60,true,false,
small,Problems/CSR/CSR005+2.p,rewrite,,CLAUSIFIED,55,349.350,,0.000,722.171,,,,,120,18,1138,632996,4363,1294,60,true,false,
small,Problems/CSR/CSR021+1.p,rewrite,,CLAUSIFIED,47,380.915,,0.000,1129.687,,,,,137,21,1168,764231,4514,1464,52,true,false,
