dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,baseline,balanced,TIMEOUT,205.101,498.937,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,baseline,balanced,TIMEOUT,183.348,581.681,0.000,,2000,22211,1997,19868,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,baseline,balanced,REFUTED,180.152,360.989,27.232,99.161,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,baseline,balanced,TIMEOUT,154.427,20086.330,0.000,,569,2477679,494,2474693,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,baseline,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,baseline,balanced,TIMEOUT,130.483,1243.341,0.000,,2000,198817,1972,195607,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,baseline,balanced,TIMEOUT,126.481,1008.741,0.000,,2000,163505,1962,160911,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,baseline,balanced,TIMEOUT,305.903,1224.821,0.000,,2000,114255,1905,111069,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,baseline,balanced,TIMEOUT,324.394,1717.376,0.000,,2000,206719,1953,203799,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,baseline,balanced,TIMEOUT,310.754,1026.880,0.000,,2000,105445,1924,102481,152,94,,,,,,,false,
