dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,bwdsubs-off,balanced,TIMEOUT,236.095,509.152,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,bwdsubs-off,balanced,TIMEOUT,159.066,411.172,0.000,,2000,22211,2000,19868,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,bwdsubs-off,balanced,REFUTED,173.171,324.008,25.553,108.708,997,7774,991,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,bwdsubs-off,balanced,TIMEOUT,119.416,20133.331,0.000,,587,2672423,522,2669329,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,bwdsubs-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,bwdsubs-off,balanced,TIMEOUT,134.075,1139.869,0.000,,2000,201685,2000,198471,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,bwdsubs-off,balanced,TIMEOUT,122.257,979.284,0.000,,2000,164717,2000,162123,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,bwdsubs-off,balanced,TIMEOUT,294.153,1205.969,0.000,,2000,123474,1949,120112,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,bwdsubs-off,balanced,TIMEOUT,320.721,1818.350,0.000,,2000,206722,1980,203802,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,bwdsubs-off,balanced,TIMEOUT,320.429,909.841,0.000,,2000,106699,1981,103711,152,94,,,,,,,false,
