dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,demod-off,balanced,TIMEOUT,203.511,488.431,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,demod-off,balanced,TIMEOUT,206.099,556.771,0.000,,2000,22211,1997,19868,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,demod-off,balanced,REFUTED,169.001,400.375,28.652,116.112,1493,21528,1484,18508,12,2,265,49934,652,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,demod-off,balanced,TIMEOUT,122.720,20117.640,0.000,,928,3263801,906,3258673,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,demod-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,demod-off,balanced,TIMEOUT,125.077,1245.226,0.000,,2000,198817,1972,195607,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,demod-off,balanced,TIMEOUT,158.360,1136.592,0.000,,2000,163505,1962,160911,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,demod-off,balanced,TIMEOUT,317.554,1187.800,0.000,,2000,131904,1944,128704,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,demod-off,balanced,TIMEOUT,317.890,1738.506,0.000,,2000,236430,1963,233340,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,demod-off,balanced,TIMEOUT,298.015,972.016,0.000,,2000,125546,1923,122350,152,94,,,,,,,false,
