dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,sr-off,balanced,TIMEOUT,192.988,435.906,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,sr-off,balanced,TIMEOUT,171.637,526.792,0.000,,2000,22211,1997,19868,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,sr-off,balanced,REFUTED,173.849,297.314,20.440,107.490,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,sr-off,balanced,TIMEOUT,124.417,20097.078,0.000,,584,2615365,509,2612323,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,sr-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,sr-off,balanced,TIMEOUT,128.292,1196.561,0.000,,2000,198817,1972,195607,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,sr-off,balanced,TIMEOUT,166.354,1043.478,0.000,,2000,163505,1962,160911,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,sr-off,balanced,TIMEOUT,304.452,1266.151,0.000,,2000,114255,1905,111069,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,sr-off,balanced,TIMEOUT,313.061,1626.614,0.000,,2000,206719,1953,203799,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,sr-off,balanced,TIMEOUT,301.407,1036.930,0.000,,2000,105445,1924,102481,152,94,,,,,,,false,
