dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,cond-on,balanced,TIMEOUT,229.323,20148.168,0.000,,20142,121179,20142,100073,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,cond-on,balanced,TIMEOUT,167.514,20111.652,0.000,,20872,113799,20832,92097,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,cond-on,balanced,REFUTED,167.095,345.278,20.755,91.492,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,cond-on,balanced,TIMEOUT,121.489,20085.102,0.000,,579,2563038,504,2560020,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,cond-on,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,cond-on,balanced,TIMEOUT,123.795,20104.755,0.000,,4326,675256,4215,668040,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,cond-on,balanced,TIMEOUT,133.966,20099.065,0.000,,3992,786560,3944,781272,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,cond-on,balanced,BAD_PROOF,307.305,189.144,0.000,,0,0,0,0,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,cond-on,balanced,BAD_PROOF,322.690,223.649,0.000,,0,0,0,0,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,cond-on,balanced,BAD_PROOF,356.944,220.805,0.000,,0,0,0,0,152,94,,,,,,,false,
