dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,demod-off,balanced,TIMEOUT,214.679,20123.794,0.000,,19571,112873,19571,92437,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,demod-off,balanced,TIMEOUT,172.606,20134.986,0.000,,20004,105067,19995,84311,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,demod-off,balanced,REFUTED,169.127,467.169,21.997,91.125,1493,21528,1484,18508,12,2,265,49934,652,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,demod-off,balanced,TIMEOUT,119.871,20094.230,0.000,,916,3166550,897,3161466,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,demod-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,demod-off,balanced,TIMEOUT,124.875,20099.132,0.000,,9523,3398400,9328,3381304,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,demod-off,balanced,TIMEOUT,125.182,20077.341,0.000,,8916,3346992,8843,3335240,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,demod-off,balanced,TIMEOUT,308.583,20097.744,0.000,,4424,2526957,4346,2519203,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,demod-off,balanced,TIMEOUT,336.105,20141.024,0.000,,4809,3136178,4721,3127760,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,demod-off,balanced,TIMEOUT,308.039,20173.615,0.000,,4964,3336756,4852,3327848,152,94,,,,,,,false,
