dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,fwdsubs-off,balanced,TIMEOUT,260.693,20188.371,0.000,,23719,191863,22462,168144,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,fwdsubs-off,balanced,TIMEOUT,187.419,20127.215,0.000,,25326,146398,24381,121074,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,fwdsubs-off,balanced,TIMEOUT,175.861,20094.096,0.000,,52171,7552654,2771,7499601,12,2,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,fwdsubs-off,balanced,TIMEOUT,158.694,20097.384,0.000,,3053,3363199,338,3360041,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,fwdsubs-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,fwdsubs-off,balanced,TIMEOUT,127.349,20076.078,0.000,,28193,3114340,3970,3086147,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,fwdsubs-off,balanced,TIMEOUT,140.502,20075.200,0.000,,18472,3626951,3907,3608479,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,fwdsubs-off,balanced,TIMEOUT,309.848,20147.379,0.000,,15976,3883149,2952,3867123,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,fwdsubs-off,balanced,TIMEOUT,384.111,20113.148,0.000,,12912,3983850,3103,3970842,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,fwdsubs-off,balanced,TIMEOUT,336.432,20100.629,0.000,,16422,4779823,3289,4763282,152,94,,,,,,,false,
