dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,gensimplify-on,balanced,TIMEOUT,179.440,20207.732,0.000,,4371,136717,4361,132129,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,gensimplify-on,balanced,TIMEOUT,190.206,20134.461,0.000,,5390,153188,5390,147628,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,gensimplify-on,balanced,BAD_PROOF,121.411,109.055,0.000,,0,0,0,0,12,2,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,gensimplify-on,balanced,BAD_PROOF,119.371,95.678,0.000,,0,0,0,0,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,gensimplify-on,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,gensimplify-on,balanced,TIMEOUT,129.395,20136.178,0.000,,2203,218520,2122,216050,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,gensimplify-on,balanced,TIMEOUT,135.912,20101.480,0.000,,2404,245266,2366,242676,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,gensimplify-on,balanced,BAD_PROOF,301.291,169.113,0.000,,0,0,0,0,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,gensimplify-on,balanced,BAD_PROOF,325.898,163.864,0.000,,0,0,0,0,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,gensimplify-on,balanced,BAD_PROOF,309.672,139.660,0.000,,0,0,0,0,152,94,,,,,,,false,
