dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,sr-and-index-off,balanced,TIMEOUT,192.973,20144.807,0.000,,19085,108687,19085,88792,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,sr-and-index-off,balanced,TIMEOUT,195.519,20118.265,0.000,,20207,107690,20189,86709,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,sr-and-index-off,balanced,REFUTED,197.709,368.307,46.551,140.559,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,sr-and-index-off,balanced,TIMEOUT,124.144,20118.378,0.000,,575,2531266,500,2528262,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,sr-and-index-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,sr-and-index-off,balanced,TIMEOUT,161.628,20085.562,0.000,,9163,3103177,8968,3086810,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,sr-and-index-off,balanced,TIMEOUT,129.656,20610.011,0.000,,8986,3431723,8913,3419873,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,sr-and-index-off,balanced,TIMEOUT,309.495,20100.114,0.000,,4973,2763824,4855,2754866,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,sr-and-index-off,balanced,TIMEOUT,350.019,20125.065,0.000,,4683,2965341,4603,2957033,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,sr-and-index-off,balanced,TIMEOUT,375.849,20134.250,0.000,,4774,3102515,4666,3093827,152,94,,,,,,,false,
