dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,baseline,balanced,TIMEOUT,244.468,20129.982,0.000,,19454,111603,19454,91303,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,baseline,balanced,TIMEOUT,187.495,20119.493,0.000,,20410,110316,20363,89104,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,baseline,balanced,REFUTED,171.101,301.217,22.479,87.799,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,baseline,balanced,TIMEOUT,135.261,20141.091,0.000,,567,2457885,492,2454905,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,baseline,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,baseline,balanced,TIMEOUT,139.176,20097.334,0.000,,9109,3065822,8914,3049568,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,baseline,balanced,TIMEOUT,124.984,20091.744,0.000,,8913,3338943,8840,3327195,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,baseline,balanced,TIMEOUT,339.574,20105.006,0.000,,4657,2655215,4540,2646921,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,baseline,balanced,TIMEOUT,332.363,20109.940,0.000,,4624,2746769,4544,2738579,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,baseline,balanced,TIMEOUT,420.289,20157.768,0.000,,4711,2883630,4603,2875066,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,fwdsubs-off,balanced,TIMEOUT,260.693,20188.371,0.000,,23719,191863,22462,168144,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,fwdsubs-off,balanced,TIMEOUT,187.419,20127.215,0.000,,25326,146398,24381,121074,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,fwdsubs-off,balanced,TIMEOUT,175.861,20094.096,0.000,,52171,7552654,2771,7499601,12,2,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,fwdsubs-off,balanced,TIMEOUT,158.694,20097.384,0.000,,3053,3363199,338,3360041,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,fwdsubs-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,fwdsubs-off,balanced,TIMEOUT,127.349,20076.078,0.000,,28193,3114340,3970,3086147,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,fwdsubs-off,balanced,TIMEOUT,140.502,20075.200,0.000,,18472,3626951,3907,3608479,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,fwdsubs-off,balanced,TIMEOUT,309.848,20147.379,0.000,,15976,3883149,2952,3867123,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,fwdsubs-off,balanced,TIMEOUT,384.111,20113.148,0.000,,12912,3983850,3103,3970842,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,fwdsubs-off,balanced,TIMEOUT,336.432,20100.629,0.000,,16422,4779823,3289,4763282,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,bwdsubs-off,balanced,TIMEOUT,220.280,20144.213,0.000,,24684,849754,24608,822699,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,bwdsubs-off,balanced,TIMEOUT,248.698,20161.185,0.000,,25309,120057,25273,93752,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,bwdsubs-off,balanced,REFUTED,240.440,385.622,36.332,112.811,997,7774,991,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,bwdsubs-off,balanced,TIMEOUT,123.244,20076.138,0.000,,585,2654039,520,2650982,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,bwdsubs-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,bwdsubs-off,balanced,TIMEOUT,133.851,20077.332,0.000,,9651,3582305,9651,3564841,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,bwdsubs-off,balanced,TIMEOUT,146.382,20652.122,0.000,,8984,3444323,8984,3432475,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,bwdsubs-off,balanced,TIMEOUT,316.778,20106.608,0.000,,4672,2679334,4621,2670818,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,bwdsubs-off,balanced,TIMEOUT,364.690,20228.571,0.000,,4672,2918900,4651,2910614,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,bwdsubs-off,balanced,TIMEOUT,583.681,20157.870,0.000,,4735,3022762,4716,3014114,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,sr-off,balanced,TIMEOUT,204.285,20118.460,0.000,,20607,147648,20607,126075,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,sr-off,balanced,TIMEOUT,210.311,20119.690,0.000,,20568,112464,20521,91084,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,sr-off,balanced,REFUTED,209.618,296.761,22.491,84.451,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,sr-off,balanced,TIMEOUT,129.248,20190.317,0.000,,582,2595680,507,2592646,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,sr-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,sr-off,balanced,TIMEOUT,128.665,20080.802,0.000,,9690,3523196,9490,3505790,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,sr-off,balanced,TIMEOUT,124.412,20074.486,0.000,,8969,3418977,8896,3407151,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,sr-off,balanced,TIMEOUT,295.389,20093.625,0.000,,4818,2715551,4701,2706935,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,sr-off,balanced,TIMEOUT,411.803,20152.869,0.000,,4661,2883018,4581,2874754,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,sr-off,balanced,TIMEOUT,402.596,20185.333,0.000,,4707,2840982,4599,2832428,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,demod-off,balanced,TIMEOUT,214.679,20123.794,0.000,,19571,112873,19571,92437,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,demod-off,balanced,TIMEOUT,172.606,20134.986,0.000,,20004,105067,19995,84311,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,demod-off,balanced,REFUTED,169.127,467.169,21.997,91.125,1493,21528,1484,18508,12,2,265,49934,652,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,demod-off,balanced,TIMEOUT,119.871,20094.230,0.000,,916,3166550,897,3161466,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,demod-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,demod-off,balanced,TIMEOUT,124.875,20099.132,0.000,,9523,3398400,9328,3381304,15,3,,,,,,,false,
