dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,baseline,balanced,REFUTED,389.887,448.259,17.288,1564.473,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,baseline,balanced,TIMEOUT,197.490,20134.562,0.000,,20388,113039,20340,91871,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,baseline,balanced,REFUTED,313.091,271.748,59.999,4709.277,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,baseline,balanced,REFUTED,296.502,179.548,55.531,9152.749,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,baseline,balanced,TIMEOUT,152.681,20103.399,0.000,,26386,1776488,17046,1618843,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,baseline,balanced,REFUTED,154.245,284.041,30.030,505.989,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,baseline,balanced,TIMEOUT,167.255,20105.946,0.000,,25379,2013159,17191,1894563,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,baseline,balanced,TIMEOUT,173.294,20116.564,0.000,,29161,1621397,17913,1496428,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,baseline,balanced,TIMEOUT,103.093,20083.235,0.000,,567,2639310,522,2636248,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,baseline,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
